id,nombre,partido,municipio,cp,latitud,longitud
16489,11 DE SEPTIEMBRE,TRES DE FEBRERO,TRES DE FEBRERO,1657,-34.5663143,-58.6183601
18312,12 DE AGOSTO,PERGAMINO,,2701,-33.7823763,-60.5927281
2493,12 DE OCTUBRE,9 DE JULIO,9 DE JULIO,6501,-35.6067772,-60.9175339
32856,13 DE ABRIL,LINCOLN,LINCOLN,6453,,
28200,16 DE JULIO,AZUL,AZUL,7313,-37.2005300,-60.1646870
4409,17 DE AGOSTO,PUAN,PUAN,8129,-37.9101028,-62.9352493
16497,20 DE JUNIO,LA MATANZA,LA MATANZA,1761,-34.7795131,-58.7353099
2464,25 DE MAYO,25 DE MAYO,25 DE MAYO,6660,-35.4330482,-60.1733131
4852,30 DE AGOSTO,TRENQUE LAUQUEN,TRENQUE LAUQUEN,6405,-36.2742641,-62.5449691
33080,30 DE DICIEMBRE,BOLIVAR,BOLIVAR,6511,,
4573,4 DE NOVIEMBRE,ROJAS,,2707,-34.1497078,-60.7929268
5049,9 DE ABRIL,ESTEBAN ECHEVERRIA,ESTEBAN ECHEVERRIA,1776,-34.7565076,-58.4902924
2494,9 DE JULIO,9 DE JULIO,9 DE JULIO,6500,-35.4453163,-60.8866844
33281,9 DE JULIO,CHASCOMUS,CHASCOMUS,7130,,
3723,ABASTO,LA PLATA,LA PLATA,1903,-34.9832916,-58.0928040
3527,ABBOTT,MONTE,MONTE,7228,-35.2815514,-58.8032150
4263,ABEL,PEHUAJO,,6450,-35.6174237,-62.0047019
4602,ABRA DE HINOJO,SAAVEDRA,,8170,-37.7242207,-62.1018999
4695,ACASSUSO,SAN ISIDRO,SAN ISIDRO,1640,-34.4799000,-58.5040000
4779,ACEILAN,TANDIL,,7003,,
4302,ACEVEDO,PERGAMINO,PERGAMINO,2717,-33.7551346,-60.4401436
33533,ACHALAY,LAPRIDA,LAPRIDA,7414,,
32914,ACHAVAL,GENERAL VIAMONTE,GENERAL VIAMONTE,6015,,
28198,ACHUPALLAS,ALBERTI,ALBERTI,6627,-35.1098960,-60.0701930
3063,ADELA,CHASCOMUS,CHASCOMUS,7136,-35.6849316,-57.9530315
4410,ADELA SAENZ,PUAN,,8129,,
2533,ADOLFO ALSINA,ADOLFO ALSINA,,6430,,
2580,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES,ADOLFO GONZALES CHAVES,7513,-38.0279579,-60.1006660
