id,nombre,partido,municipio,cp,latitud,longitud
10614,ACHALCO,EL ALTO,,4234,-28.3718653,-65.1614785
16815,ACHERAL,LA PAZ,,5260,,
10352,ACOSTILLA,ANCASTI,,4701,,
10561,ADOLFO E CARRANZA,CAPAYAN,CAPAYAN,5263,-29.0263962,-66.0033266
29295,AGUA AMARILLA,ANDALGALA,ANDALGALA,4740,-27.4384657,-66.4162931
10888,AGUA AMARILLA LA HOYADA,SANTA MARIA,SAN JOSE,4139,-26.7701251,-66.4816340
10889,AGUA AMARILLA PTA DE BALASTO,SANTA MARIA,,4139,,
29220,AGUA COLORADA,FRAY MAMERTO ESQUIU,FRAY MAMERTO ESQUIU,4707,-28.3609879,-65.7209937
11056,AGUA COLORADA,VALLE VIEJO,,4724,-28.5617131,-65.7801743
10487,AGUA COLORADA,BELEN,,4750,-27.5011958,-66.8089181
10488,AGUA DE DIONISIO,BELEN,,4751,,
10441,AGUA DE LAS PALOMAS,ANDALGALA,ACONQUIJA,4741,-27.6204111,-66.1233205
16774,AGUA DEL CAMPO,BELEN,,4750,,
10353,AGUA DEL SIMBOL,ANCASTI,,5261,,
29136,AGUA DELGADA,ANTOFAGASTA DE LA SIERRA,ANTOFAGASTA DE LA SIERRA,4705,-26.5735165,-67.1660208
16816,AGUA ESCONDIDA,LA PAZ,,5260,,
16877,AGUA GRANDE,TINOGASTA,,5340,,
10354,AGUA LOS MATOS,ANCASTI,,5265,,
16762,AGUA SALADA,ANDALGALA,,4740,-27.6412121,-66.5982294
29152,AGUA SALADA,TINOGASTA,FIAMBALA,5345,-27.1158040,-67.6842988
16604,AGUA VERDE,AMBATO,,4715,,
10442,AGUA VERDE,ANDALGALA,,4740,-27.5006536,-66.3218931
16878,AGUADA,TINOGASTA,,5340,,
29170,AGUADA DE LA TOMA,BELEN,POZO DE PIEDRA,4751,-27.6094813,-67.1309834
29211,AGUADA GRANDE,POMAN,SAUJIL,5321,-28.1293682,-66.4296986
16765,AGUADITA,ANTOFAGASTA DE LA SIERRA,,4705,,
29321,AGUADITA,CAPAYAN,HUILLAPIMA,4728,-28.5988777,-66.0253529
10489,AGUAS CALIENTES,BELEN,,4751,-26.3576726,-66.6436172
10615,ALBIGASTA,EL ALTO,,4231,-28.5840070,-65.2242263
10684,ALBIGASTA,LA PAZ,,4235,,
