id,nombre,partido,municipio,cp,latitud,longitud
31220,1 DE MAYO,GENERAL GUEMES,MIRAFLORES,3709,,
31223,10 DE MAYO,GENERAL GUEMES,VILLA RIO BERMEJITO,3703,,
11293,10 DE MAYO,LIBERTADOR GENERAL SAN MARTIN,,3705,,
30669,13 DE JUNIO,PRESIDENCIA DE LA PLAZA,PRESIDENCIA DE LA PLAZA,3536,,
31130,2 DE ABRIL,MAIPU,TRES ISLETAS,3703,,
17358,2 DE MAYO,9 DE JULIO,,3722,-27.0170187,-61.1874281
30614,3 DE MAYO,ALMIRANTE BROWN,TACO POZO,3714,,
30440,4 DE FEBRERO,GENERAL GUEMES,MIRAFLORES,3705,,
30398,6 DE MAYO,GENERAL GUEMES,FUERTE ESPERANZA,3705,,
17501,9 DE JULIO,ALMIRANTE BROWN,,3714,-25.5344563,-62.8526611
30396,AGUAS VERDES,GENERAL GUEMES,FUERTE ESPERANZA,3705,,
30409,AGUAS VIVAS,GENERAL GUEMES,FUERTE ESPERANZA,3705,,
30405,AHI VEREMOS,GENERAL GUEMES,FUERTE ESPERANZA,3705,,
31221,ALBERDI,GENERAL GUEMES,JUAN JOSE CASTELLI,3705,,
19045,ALMIRANTE BROWN,O HIGGINS,,3701,,
30597,ALTA ESPERANZA,ALMIRANTE BROWN,TACO POZO,3714,,
30359,ALTO ALEGRE,GENERAL GUEMES,EL SAUZALITO,3705,,
30567,ALTO LA GLORIA,ALMIRANTE BROWN,TACO POZO,3714,,
30529,AMPRIMO,ALMIRANTE BROWN,PAMPA DEL INFIERNO,3708,,
30580,ARBOL BLANCO,ALMIRANTE BROWN,TACO POZO,3714,,
11419,ARBOL SOLO,TAPENAGA,COTE LAI,3513,-27.7784958,-59.6045647
30682,ARROYO SALADILLO,LIBERTAD,LAGUNA BLANCA,3514,,
30392,ASTORGA,GENERAL GUEMES,FUERTE ESPERANZA,3705,,
11258,AVIA TERAI,INDEPENDENCIA,AVIA TERAI,3706,-26.6858349,-60.7295265
30432,BAJADA ALTA,GENERAL GUEMES,MIRAFLORES,3705,,
18432,BAJO HONDO,GENERAL GUEMES,,3705,-25.1221007,-61.2000234
31018,BAJO HONDO CHICO,QUITILIPI,QUITILIPI,3530,,
11201,BAJO HONDO CHICO,COMANDANTE FERNANDEZ,PRESIDENCIA ROQUE SAENZ PEÑA,3700,-26.9428248,-60.3787543
30700,BAJO HONDO GRANDE,COMANDANTE FERNANDEZ,PRESIDENCIA ROQUE SAENZ PEÑA,3700,,
18487,BAJO VERDE,GENERAL GUEMES,,3705,-24.3160837,-61.8723729
30397,BAJOS DE ALVARADO,GENERAL GUEMES,FUERTE ESPERANZA,3705,,
30449,BALBUENA,GENERAL GUEMES,MIRAFLORES,3705,,
30293,BALBUENA,GENERAL GUEMES,EL SAUZALITO,3705,,
11369,BARRANQUERAS,SAN FERNANDO,BARRANQUERAS,3503,-27.5000076,-58.9655800
32304,BASAIL,SAN FERNANDO,BASAIL,3516,-27.8869530,-59.2797640
31151,BELLA VISTA,GENERAL GUEMES,JUAN JOSE CASTELLI,3705,,
18488,BERLIN,GENERAL GUEMES,,3705,-25.6460705,-60.3410301
30514,BERTONE,ALMIRANTE BROWN,PAMPA DEL INFIERNO,3708,,
18489,BOLSA GRANDE,GENERAL GUEMES,,3705,-24.2024937,-62.1842384
31111,BUEN LUGAR,GENERAL GUEMES,EL SAUZALITO,3704,,
31110,BUEN LUGAR,GENERAL GUEMES,FUERTE ESPERANZA,3705,,
31187,BUENA VISTA,LIBERTADOR GENERAL SAN MARTIN,GENERAL SAN MARTIN,3509,,
30320,BUENA VISTA,GENERAL GUEMES,EL SAUZALITO,3705,,
30355,BUENOS AIRES,GENERAL GUEMES,EL SAUZALITO,3705,,
18907,CABA ÑARO,MAIPU,TRES ISLETAS,3703,,
11212,CABEZA DE TIGRE,FRAY JUSTO SANTA MARIA DE ORO,SANTA SYLVINA,3540,-27.9419041,-61.1410179
11145,CABRAL CUE,BERMEJO,,3518,-26.9217504,-58.7787460
30728,CACICA DOMINGA,QUITILIPI,QUITILIPI,3530,,
18490,CALIFORNIA,GENERAL GUEMES,,3705,-24.3954353,-62.3238335
30785,CAMPO ALEMANY,LIBERTADOR GENERAL SAN MARTIN,PAMPA DEL INDIO,3531,,
30473,CAMPO ALTO,GENERAL GUEMES,JUAN JOSE CASTELLI,3705,,
31189,CAMPO ANTONIELI,LIBERTADOR GENERAL SAN MARTIN,LA EDUVIGIS,3517,,
30771,CAMPO ARAOZ,LIBERTADOR GENERAL SAN MARTIN,GENERAL SAN MARTIN,3509,,
30454,CAMPO BEDOGNI,GENERAL GUEMES,JUAN JOSE CASTELLI,3705,,
11273,CAMPO BERMEJO,LIBERTADOR GENERAL SAN MARTIN,,3509,,
30772,CAMPO BLANCO,LIBERTADOR GENERAL SAN MARTIN,GENERAL SAN MARTIN,3509,,
31023,CAMPO CANTON,GENERAL BELGRANO,CORZUELA,3718,,
30478,CAMPO CHICO,GENERAL GUEMES,MISION NUEVA POMPEYA,3705,,
30455,CAMPO DE MAYO,GENERAL GUEMES,JUAN JOSE CASTELLI,3705,,
30705,CAMPO DEL BANCO,FRAY JUSTO SANTA MARIA DE ORO,SANTA SYLVINA,3541,,
31160,CAMPO DEL BLANCO,SARGENTO CABRAL,LAS GARCITAS,3515,,
30286,CAMPO DEL NIÑO,GENERAL GUEMES,EL SAUZALITO,3705,,
30877,CAMPO DON LONCHO,LIBERTAD,PUERTO TIROL,3505,,
11360,CAMPO FELDMAN,QUITILIPI,,3530,-26.9587820,-60.3165101
30469,CAMPO FLORIDO,GENERAL GUEMES,JUAN JOSE CASTELLI,3705,,
30741,CAMPO GRANDE,SARGENTO CABRAL,COLONIA ELISA,3515,,
18493,CAMPO GRANDE,GENERAL GUEMES,,3705,-24.6569843,-62.0595402
30770,CAMPO LA AURORA,LIBERTADOR GENERAL SAN MARTIN,GENERAL SAN MARTIN,3509,,
31222,CAMPO LA CHINA,GENERAL GUEMES,MIRAFLORES,3709,,
11259,CAMPO LARGO,INDEPENDENCIA,CAMPO LARGO,3716,-26.8029766,-60.8404694
18173,CAMPO LAS PUERTAS,FRAY JUSTO SANTA MARIA DE ORO,,3541,-27.8674987,-61.3254030
30391,CAMPO LIBRE,GENERAL GUEMES,FUERTE ESPERANZA,3705,,
30781,CAMPO LOS TOROS,LIBERTADOR GENERAL SAN MARTIN,PAMPA DEL INDIO,3531,,
30769,CAMPO MEDINA,LIBERTADOR GENERAL SAN MARTIN,PRESIDENCIA ROCA,3511,,
31159,CAMPO NOVO,SARGENTO CABRAL,COLONIA ELISA,3515,,
30768,CAMPO NUEVO,LIBERTADOR GENERAL SAN MARTIN,PRESIDENCIA ROCA,3511,,
31191,CAMPO PITTERI,LIBERTADOR GENERAL SAN MARTIN,GENERAL SAN MARTIN,3509,,
31158,CAMPO QUIJANO,SARGENTO CABRAL,CAPITAN SOLARI,3515,,
30743,CAMPO RIAÑO,25 DE MAYO,MACHAGAI,3534,,
30773,CAMPO ROFFO,LIBERTADOR GENERAL SAN MARTIN,GENERAL SAN MARTIN,3509,,
30672,CAMPO UGARTE,MAYOR LUIS J FONTANA,CORONEL DU GRATY,3541,,
30681,CAMPO VARELA,1 DE MAYO,MARGARITA BELEN,3505,,
11274,CAMPO WINTER,LIBERTADOR GENERAL SAN MARTIN,GENERAL SAN MARTIN,3509,-26.4124804,-59.3254700
30290,CAÑADA LA LENGUA,GENERAL GUEMES,EL SAUZALITO,3705,,
11146,CANCHA LARGA,BERMEJO,,3518,-27.0770810,-58.7304537
30786,CANCHA LARGA,LIBERTADOR GENERAL SAN MARTIN,PAMPA DEL INDIO,3531,,
32305,CAPITAN SOLARI,SARGENTO CABRAL,CAPITAN SOLARI,3515,-26.8027180,-59.5595920
30553,CARBALLO,ALMIRANTE BROWN,TACO POZO,3714,,
30661,CARLOS PALACIOS,MAIPU,TRES ISLETAS,3703,,
17504,CASTELLI,ALMIRANTE BROWN,TACO POZO,3714,,
30292,CEFERINO,GENERAL GUEMES,EL SAUZALITO,3705,,
30443,CENTRAL NORTE,GENERAL GUEMES,MIRAFLORES,3705,,
30702,CERVEZA HELADA,COMANDANTE FERNANDEZ,PRESIDENCIA ROQUE SAENZ PEÑA,3700,,
30617,CHACO PORA,ALMIRANTE BROWN,TACO POZO,3714,,
28166,CHARADAI,TAPENAGA,CHARADAI,3513,-27.6548690,-59.8623460
11192,CHARATA,CHACABUCO,CHARATA,3730,-27.2144527,-61.1870193
30574,CHIVA MORA,ALMIRANTE BROWN,TACO POZO,3714,,
11216,CHOROTIS,FRAY JUSTO SANTA MARIA DE ORO,CHOROTIS,3733,-27.9110203,-61.3923225
30352,CHURCAL,GENERAL GUEMES,EL SAUZALITO,3705,,
11275,CIERVO PETISO,LIBERTADOR GENERAL SAN MARTIN,CIERVO PETISO,3515,-26.5815850,-59.6329800
18817,CNIA EL FISCAL,LIBERTADOR GENERAL SAN MARTIN,,3509,,
17065,COLONIA ABATTE,12 DE OCTUBRE,,3732,,
11102,COLONIA ABORIGEN CHACO,25 DE MAYO,COLONIA ABORIGEN,3531,-26.9583436,-60.1902370
30767,COLONIA ALCALA,LIBERTADOR GENERAL SAN MARTIN,PRESIDENCIA ROCA,3511,,
30680,COLONIA AMADEO,1 DE MAYO,MARGARITA BELEN,3505,,
11377,COLONIA BARANDA,SAN FERNANDO,,3505,-27.5620449,-59.3096912
30742,COLONIA BARANDA,25 DE MAYO,MACHAGAI,3534,,
11076,COLONIA BENITEZ,1 DE MAYO,COLONIA BENITEZ,3505,-27.3318666,-58.9589939
11198,COLONIA BERNARDINO RIVADAVIA,COMANDANTE FERNANDEZ,,3701,,
31017,COLONIA BLAS PARERA,QUITILIPI,QUITILIPI,3530,,
11103,COLONIA BLAS PARERA,25 DE MAYO,,3531,-27.0827272,-60.2567869
11346,COLONIA BRANDSEN NORTE,PRESIDENCIA DE LA PLAZA,PRESIDENCIA DE LA PLAZA,3536,,
11351,COLONIA BRANDSEN SUR,PRESIDENCIA DE LA PLAZA,PRESIDENCIA DE LA PLAZA,3536,,
17066,COLONIA BRAVO,12 DE OCTUBRE,,3732,-27.3592374,-61.1873236
18496,COLONIA CABEZA DE BUEY,GENERAL GUEMES,VILLA RIO BERMEJITO,3705,,
31133,COLONIA CAMPO HERMOSO,2 DE ABRIL,HERMOSO CAMPO,3732,,
27877,COLONIA CAMPO ROSSI,1 DE MAYO,,3505,,
11117,COLONIA CUERO QUEMADO,9 DE JULIO,,3722,,
11112,COLONIA EL AGUARA,25 DE MAYO,,3534,,
18497,COLONIA EL ALAZAN,GENERAL GUEMES,,3705,-25.7573509,-60.3205452
18816,COLONIA EL CIERVO,LIBERTADOR GENERAL SAN MARTIN,,3509,-25.8511086,-60.0263519
18177,COLONIA EL CURUPI,FRAY JUSTO SANTA MARIA DE ORO,SANTA SYLVINA,3541,,
11215,COLONIA EL JACARANDA,2 DE ABRIL,HERMOSO CAMPO,3733,,
11330,COLONIA EL ÑANDUBAY,MAYOR LUIS J FONTANA,CORONEL DU GRATY,3541,,
19130,COLONIA EL PARAISAL,QUITILIPI,,3530,-26.4991499,-60.0671968
27863,COLONIA EL TIZON,2 DE ABRIL,HERMOSO CAMPO,3733,,
11410,COLONIA ELISA,SARGENTO CABRAL,COLONIA ELISA,3515,-26.9307861,-59.5204659
18818,COLONIA ESPERANZA,LIBERTADOR GENERAL SAN MARTIN,,3509,-26.5226536,-59.1993523
31134,COLONIA GENERAL ARENALES,25 DE MAYO,MACHAGAI,3534,,
31025,COLONIA GENERAL NECOCHEA,GENERAL BELGRANO,CORZUELA,3718,,
31137,COLONIA GENERAL NECOCHEA,9 DE JULIO,LAS BREÑAS,3722,,
11118,COLONIA GENERAL NECOCHEA,CHACABUCO,,3722,-27.3822613,-61.0146438
27770,COLONIA GENERAL PAZ,QUITILIPI,QUITILIPI,3530,-26.7063105,-60.1447603
31013,COLONIA GENERAL URQUIZA,O HIGGINS,LA CLOTILDE,3701,,
17314,COLONIA GUALTIERI,25 DE MAYO,,3534,-26.5568836,-59.9374919
11261,COLONIA JOSE MARMOL,INDEPENDENCIA,,3700,-26.9847794,-60.6440697
31155,COLONIA JOSE MARMOL,O HIGGINS,LA CLOTILDE,3701,,
30462,COLONIA JUAN JOSE CASTELLI,GENERAL GUEMES,JUAN JOSE CASTELLI,3705,,
11326,COLONIA JUAN JOSE PASO,MAYOR LUIS J FONTANA,,3540,-27.4900746,-60.8759403
11119,COLONIA JUAN LAVALLE,GENERAL BELGRANO,,3722,-27.1058550,-60.8575067
18985,COLONIA LA AVANZADA,MAYOR LUIS J FONTANA,,3540,-27.7862374,-60.8911309
30765,COLONIA LA FLORIDA,LIBERTADOR GENERAL SAN MARTIN,LAGUNA LIMPIA,3515,,
18502,COLONIA LA FLORIDA CHICA,GENERAL GUEMES,,3705,,
18503,COLONIA LA FLORIDA GRANDE,GENERAL GUEMES,,3705,-25.8269201,-60.8371604
11113,COLONIA LA LOLA,25 DE MAYO,,3534,-26.7030212,-60.0680802
17071,COLONIA LA TOTA,12 DE OCTUBRE,GANCEDO,3734,,
18908,COLONIA LALELAY,MAIPU,,3703,,
18988,COLONIA LAS AVISPAS,MAYOR LUIS J FONTANA,,3540,-27.9351482,-60.6255379
27771,COLONIA LEANDRO N ALEM,25 DE MAYO,,3534,,
31014,COLONIA MARIANO MORENO,O HIGGINS,LA CLOTILDE,3701,,
11263,COLONIA MARIANO SARRATEA,INDEPENDENCIA,AVIA TERAI,3706,-26.5242369,-60.5719353
11327,COLONIA MATHEU,O HIGGINS,,3540,,
11222,COLONIA MIXTA,SARGENTO CABRAL,,3514,,
31112,COLONIA MIXTA,LIBERTADOR GENERAL SAN MARTIN,PAMPA DEL INDIO,3531,,
18504,COLONIA MONTE QUEMADO,GENERAL GUEMES,,3705,-25.9336147,-60.7590866
17077,COLONIA NECOCHEA,12 DE OCTUBRE,GENERAL PINEDO,3732,,
31010,COLONIA NICOLAS AVELLANEDA,O HIGGINS,LA TIGRA,3701,,
31190,COLONIA OESTE,LIBERTADOR GENERAL SAN MARTIN,GENERAL SAN MARTIN,3509,,
30784,COLONIA OMBU,LIBERTADOR GENERAL SAN MARTIN,PAMPA DEL INDIO,3531,,
19236,COLONIA PALMIRA,SAN FERNANDO,,3500,-27.9256153,-59.3179817
19086,COLONIA PASTORIL,PRESIDENCIA DE LA PLAZA,PRESIDENCIA DE LA PLAZA,3536,,
30687,COLONIA POPULAR,LIBERTAD,COLONIA POPULAR,3505,-27.2736340,-59.1522240
11361,COLONIA PRESIDENTE URIBURU,QUITILIPI,QUITILIPI,3530,,
18821,COLONIA SAN ANTONIO,LIBERTADOR GENERAL SAN MARTIN,,3509,,
18505,COLONIA SAN ANTONIO,GENERAL GUEMES,,3705,-25.6419563,-60.8467216
30731,COLONIA SAN ANTONIO,12 DE OCTUBRE,GENERAL PINEDO,3732,,
31193,COLONIA SAN FRANCISCO,LIBERTADOR GENERAL SAN MARTIN,PRESIDENCIA ROCA,3511,,
31021,COLONIA SAN LORENZO,GENERAL BELGRANO,CORZUELA,3718,,
11350,COLONIA SANTA ELENA,PRESIDENCIA DE LA PLAZA,PRESIDENCIA DE LA PLAZA,3536,-26.9222571,-59.7752036
30697,COLONIA SARMIENTO,COMANDANTE FERNANDEZ,PRESIDENCIA ROQUE SAENZ PEÑA,3700,,
11278,COLONIA SIETE ARBOLES,LIBERTADOR GENERAL SAN MARTIN,,3509,,
31147,COLONIA SURIZ,LIBERTAD,LAGUNA BLANCA,3514,,
11379,COLONIA TACUARI,SAN FERNANDO,,3516,-27.8810423,-59.1253534
19139,COLONIA TACURUZAL,QUITILIPI,QUITILIPI,3530,,
27658,COLONIA TAÑIGO,2 DE ABRIL,HERMOSO CAMPO,3733,,
18822,COLONIA TRES LAGUNAS,LIBERTADOR GENERAL SAN MARTIN,,3509,-25.8888226,-59.8984604
30747,COLONIA URIBURU,25 DE MAYO,MACHAGAI,3534,,
31143,COLONIA URUNDAY,FRAY JUSTO SANTA MARIA DE ORO,SANTA SYLVINA,3541,,
11313,COLONIA VELEZ SARSFIELD,MAIPU,,3703,-26.2938245,-60.4428634
17085,COLONIA WELBERS,12 DE OCTUBRE,,3732,,
30735,COLONIA WELBERS SUR,12 DE OCTUBRE,GENERAL PINEDO,3732,,
