id,nombre,partido,municipio,cp,latitud,longitud
32434,28 DE JULIO,GAIMAN,28 DE JULIO,9107,-43.3911080,-65.8412590
7442,AGUADA DEL PITO,CUSHAMEN,AREA SIN GOBIERNO,9121,-42.2185061,-69.7310948
29070,AGUADA LAS CADENAS,TELSEN,TELSEN,9121,-42.4704961,-66.1707233
29067,AGUADA PEREZ,FLORENTINO AMEGHINO,CAMARONES,9111,-44.7700521,-66.4356455
7512,ALDEA APELEG,RIO SENGUER,ALDEA APELEG,9033,-44.6876055,-70.8528781
7513,ALDEA BELEIRO,RIO SENGUER,ALDEA BELEIRO,9037,-45.5504578,-71.5271012
32441,ALDEA EPULEF,LANGUIÑEO,ALDEA EPULEF,9201,-43.3207980,-69.6933540
7391,ALDEA ESCOLAR,FUTALEUFU,,9203,-43.1358853,-71.5484283
29036,ALDEA SAN FRANCISCO,CUSHAMEN,EPUYEN,9214,-42.1485571,-71.4046345
7477,ALTO DE LAS PLUMAS,MARTIRES,LAS PLUMAS,9101,-43.6878696,-67.1894720
7514,ALTO RIO MAYO,RIO SENGUER,DOCTOR RICARDO ROJAS,9037,-45.5621094,-71.2960552
7562,ALTO RIO PICO,TEHUELCHES,,9223,-44.2282868,-71.1604206
7515,ALTO RIO SENGUER,RIO SENGUER,ALTO RIO SENGUER,9033,-45.0422243,-70.8261417
7419,ANGOSTURA,GAIMAN,,9105,-43.3283977,-65.5405969
7516,ARROYO CHALIA,RIO SENGUER,,9035,-45.6873671,-70.9928609
7392,ARROYO PERCY,FUTALEUFU,ESQUEL,9203,-42.8546449,-71.4352688
7393,ARROYO PESCADO,FUTALEUFU,,9200,-43.0564796,-70.8007358
7543,ARROYO QUILLA,SARMIENTO,,9020,-44.7458623,-69.2229221
7580,ATILIO O VIGLIONE,TEHUELCHES,VIGLIONE,9225,-44.1920540,-71.6634803
7352,BAHIA BUSTAMANTE,ESCALANTE,COMODORO RIVADAVIA,9111,-45.1258045,-66.5372901
7294,BAHIA CRACHER,RAWSON,RAWSON,9120,-42.9541576,-64.4786592
7593,BAJADA DEL DIABLO,MARTIRES,LAS PLUMAS,9101,-42.8836747,-67.4594154
7443,BAJADA MORENO,GASTRE,,9121,-42.8594044,-67.7694696
7502,BAJO DE LOS HUESOS,RAWSON,,9103,-43.1743525,-64.8179049
7295,BAJO DEL GUALICHO,BIEDMA,BAJO DEL GUALICHO,9121,-42.3271835,-65.6329413
7503,BASE ALTE ZAR,RAWSON,,9101,-43.2175416,-65.2688739
7421,BETHESDA,GAIMAN,,9105,-43.3063516,-65.6174698
7452,BLANCUNTRE,GASTRE,,9121,-42.6219130,-68.9035384
7422,BOCA DE LA ZANJA,GAIMAN,,9107,-43.3523896,-65.9291184
7425,BRYN GWYN,GAIMAN,,9105,-43.3290743,-65.4804092
7544,BUEN PASTO,SARMIENTO,BUEN PASTO,9023,-45.0771083,-69.4593872
7323,BUENOS AIRES CHICO,CUSHAMEN,,9210,-42.0669965,-71.2151465
7478,CABEZA DE BUEY,PASO DE INDIOS,PASO DE INDIOS,9101,-43.8226437,-68.0409449
