id,nombre,partido,municipio,cp,latitud,longitud
16178,ACHIRAS,RIO CUARTO,ACHIRAS,5833,-33.1784477,-64.9935303
24561,ACHIRAS,SAN JAVIER,,5875,-31.9982320,-65.0381138
25311,ACOLLARADO,TULUMBA,,5216,,
16179,ADELIA MARIA,RIO CUARTO,ADELIA MARIA,5843,-33.6325188,-64.0215988
24361,AGUA DE CRESPIN,CRUZ DEL EJE,,5285,-31.0876507,-65.0455589
25230,AGUA DE LAS PIEDRAS,TOTORAL,,5221,-30.8153335,-64.2123349
16054,AGUA DE ORO,COLON,AGUA DE ORO,5107,-31.0649335,-64.3012088
23092,AGUA DE ORO,RIO SECO,,5248,-29.8180211,-63.7531213
25559,AGUA DE TALA,PUNILLA,,5155,,
25312,AGUA DEL TALA,TULUMBA,,5243,-30.3938758,-64.1222191
25314,AGUA HEDIONDA,TULUMBA,,5216,-29.9840077,-64.4901418
24892,AGUA PINTADA,ISCHILIN,,5212,,
25495,AGUAS DE RAMON,MINAS,,5284,-30.8510158,-65.3636474
23565,AGUASACHA,COLON,ESTACION GENERAL PAZ,5221,-31.1367710,-64.0989320
16180,ALCIRA GIGENA,RIO CUARTO,ALCIRA,5813,-32.7570653,-64.3378599
25484,ALDEA SANTA MARIA,UNION,ALDEA SANTA MARIA,2651,-33.6994522,-62.9143327
16113,ALEJANDRO ROCA,JUAREZ CELMAN,ALEJANDRO ROCA,2686,-33.3533363,-63.7177963
16126,ALEJO LEDESMA,MARCOS JUAREZ,ALEJO LEDESMA,2662,-33.6066704,-62.6231995
24188,ALGARROBAL,SAN ALBERTO,,5885,,
16253,ALICIA,SAN JUSTO,ALICIA,5949,-31.9375172,-62.4665871
16292,ALMAFUERTE,TERCERO ARRIBA,ALMAFUERTE,5854,-32.1947746,-64.2538834
28443,ALPA CORRAL,RIO CUARTO,ALPA CORRAL,5801,-32.6917340,-64.7227550
25706,ALPAPUCA,RIO CUARTO,,5813,,
16274,ALTA GRACIA,SANTA MARIA,ALTA GRACIA,5186,-31.6544495,-64.4347382
24189,ALTAUTINA,SAN ALBERTO,,5871,-31.7912093,-65.1658794
