id,nombre,partido,municipio,cp,latitud,longitud
33794,2 DE ABRIL,SAN ROQUE,PEDRO R FERNANDEZ,3446,,
9685,3 DE ABRIL,BELLA VISTA,3 DE ABRIL,3433,-28.3808850,-58.9480960
10223,9 DE JULIO,SAN ROQUE,9 DE JULIO,3445,-28.8418349,-58.8280464
9785,ABRA GUAZU,ESQUINA,ESQUINA,3197,-30.0784368,-59.4055912
10055,ACUÑA,MONTE CASEROS,COLONIA LIBERTAD,3466,,
33779,AGUAPE,SAN MARTIN,YAPEYU,3232,,
9734,AGUAY,CURUZU CUATIA,,3461,-29.3095998,-58.5128555
33766,AGUI,SAN LUIS DEL PALMAR,SAN LUIS DEL PALMAR,3403,,
20007,AGUIRRE CUE,SAN LUIS DEL PALMAR,,3403,-27.4132515,-58.3788886
33671,AHOMA SUR,EMPEDRADO,EL SOMBRERO,3419,,
9927,ALAMO,GOYA,,3450,,
33663,ALBARDON,EMPEDRADO,EL SOMBRERO,3419,,
20010,ALBARDONES,SAN LUIS DEL PALMAR,,3403,-27.6001018,-58.5127930
33767,ALBARDONES ESTE,SAN LUIS DEL PALMAR,SAN LUIS DEL PALMAR,3403,,
10025,ALEN CUE,SAN MARTIN,LA CRUZ,3471,-29.1793297,-57.4515912
10026,ALFONSO LOMA,MERCEDES,MERCEDES,3471,,
10225,ALGARROBAL,SAN ROQUE,,3445,-28.8839313,-58.7848563
9896,ALGARROBAL,GENERAL PAZ,CAA CATI,3480,-27.7055629,-57.7949658
9990,ALGARROBO,LAVALLE,,3441,-28.8749275,-59.0445518
9860,ALTAMIRA,GENERAL ALVEAR,,3344,-28.7483654,-56.6073418
9861,ALVEAR,GENERAL ALVEAR,ALVEAR,3344,-29.0930042,-56.5474358
9899,ANGOSTURA,GENERAL PAZ,ITA IBATE,3481,-27.6046670,-57.4737171
19916,ANGUA,SALADAS,,3420,-28.3207605,-58.5464494
33689,AQUINO,ESQUINA,ESQUINA,3197,,
9694,ARERUNGUA,GENERAL PAZ,ITA IBATE,3481,-27.5650055,-57.4419845
9681,ARROYITO,SALADAS,SALADAS,3448,,
10154,ARROYO AMBROSIO,SALADAS,SAN LORENZO,3420,,
20122,ARROYO BALMACEDA,SAN MIGUEL,,3483,-27.7817285,-57.3116269
33648,ARROYO CAABI,CONCEPCION,CONCEPCION DEL YAGUARETE CORA,3423,,
19919,ARROYO CEIBAL,SALADAS,,3416,-28.1134474,-58.7366992
33664,ARROYO EL SOMBRERO,EMPEDRADO,EMPEDRADO,3419,,
10226,ARROYO GONZALEZ,SAN ROQUE,SAN ROQUE,3445,-28.7457663,-58.8880164
19730,ARROYO GRANDE,MERCEDES,,3470,-28.7814821,-57.9481002
19812,ARROYO HORQUETA,SAUCE,SAUCE,3466,,
33724,ARROYO MACHUCA,GOYA,GOYA,3450,,
33659,ARROYO MAROTE,CURUZU CUATIA,CURUZU CUATIA,3460,,
10227,ARROYO PARAISO,SAN ROQUE,SAN ROQUE,3445,,
19981,ARROYO PELON,EMPEDRADO,EMPEDRADO,3401,,
20013,ARROYO PONTON,SAN LUIS DEL PALMAR,SAN LUIS DEL PALMAR,3401,-27.5833435,-58.5998992
9737,ARROYO SECO,CURUZU CUATIA,CURUZU CUATIA,3641,-29.5471553,-58.6355156
9771,ARROYO SOLIS,EMPEDRADO,EMPEDRADO,3401,-27.7922091,-58.6042184
9789,ARROYO SORO,ESQUINA,,3194,-30.2634460,-59.5484967
9790,ARROYO VEGA,ESQUINA,,3196,,
33746,ARROYO YUQUERI,MERCEDES,MERCEDES,3470,,
33800,ATALAYA,SANTO TOME,SANTO TOME,3340,,
17865,AVALOS,CURUZU CUATIA,CURUZU CUATIA,3461,,
9900,AYALA CUE,GENERAL PAZ,,3407,-27.6596222,-57.7391205
33759,AYUI,PASO DE LOS LIBRES,BONPLAND,3234,,
20085,BACARAY,SAN MARTIN,LA CRUZ,3346,,
9738,BAIBIENE,CURUZU CUATIA,CURUZU CUATIA,3466,-29.6131134,-58.1897075
9930,BAÑADO SAN ANTONIO,GOYA,,3454,,
33760,BAÑADO YATAY,PASO DE LOS LIBRES,PASO DE LOS LIBRES,3230,,
9914,BARRANQUERITA,SAN MIGUEL,LORETO,3480,,
20123,BASTIDORES,SAN MIGUEL,,3483,-27.7650396,-57.2745911
9739,BASUALDO,CURUZU CUATIA,CAZADORES CORRENTINOS,3185,,
