id,nombre,partido,municipio,cp,latitud,longitud
32248,1 DE MAYO,URUGUAY,1 DE MAYO,3263,-32.2578470,-58.4246770
9044,20 DE SEPTIEMBRE,NOGOYA,20 DE SETIEMBRE,3158,-32.3866240,-59.6630740
32568,25 DE MAYO,LA PAZ,ALCARAZ,3188,,
32569,3 DE FEBRERO,LA PAZ,ALCARAZ SUR,3188,,
18646,AERO CLUB CANAL,GUALEGUAYCHU,,2823,,
8879,ALBARDON,GUALEGUAY,,2840,,
8981,ALCARACITO,LA PAZ,,3142,,
8983,ALCARAZ,LA PAZ,ALCARAZ,3138,-31.4565890,-59.5991389
8984,ALCARAZ 1RO,LA PAZ,,3144,,
8982,ALCARAZ 2DO,LA PAZ,,3138,-31.3424473,-59.6554527
8985,ALCARAZ NORTE,LA PAZ,ALCARAZ NORTE,3136,-31.3174280,-59.6598430
8986,ALCARAZ SUD,LA PAZ,ALCARAZ SUR,3137,-31.4642450,-59.8419310
8880,ALDEA ASUNCION,GUALEGUAY,ALDEA ASUNCION,2841,-32.8251720,-59.2312380
32187,ALDEA BRASILERA,DIAMANTE,ALDEA BRASILERA,3101,-31.8903700,-60.5901520
19636,ALDEA CHALECO,PARANA,COLONIA CRESPO,3116,,
19649,ALDEA EIGENFELD,PARANA,ALDEA EIGENFELD,3116,-31.8854130,-60.2344480
8783,ALDEA GRAPSCHENTAL,DIAMANTE,ALDEA GRAPSCHENTAL,3114,-31.9563720,-60.4961050
32224,ALDEA MARIA LUISA,PARANA,ALDEA MARIA LUISA,3114,-31.8843270,-60.4102880
8776,ALDEA PROTESTANTE,DIAMANTE,ALDEA PROTESTANTE,3101,-32.0279351,-60.5624595
32188,ALDEA SALTO,DIAMANTE,ALDEA SALTO,3101,-31.9251150,-60.5470950
8908,ALDEA SAN ANTONIO,GUALEGUAYCHU,ALDEA SAN ANTONIO,2826,-32.6261063,-58.7027168
27827,ALDEA SAN ANTONIO,PARANA,ALDEA SAN ANTONIO,3117,-31.8537980,-60.1725460
20550,ALDEA SAN GREGORIO,COLON,UBAJAY,3287,-31.7073586,-58.2866096
19665,ALDEA SAN JOSE,PARANA,,3116,,
18649,ALDEA SAN JUAN,GUALEGUAYCHU,ALDEA SAN JUAN,2826,-32.7037890,-58.7790630
19393,ALDEA SAN MIGUEL,NOGOYA,ALDEA SAN MIGUEL,3116,-32.0805850,-60.1632800
9076,ALDEA SAN RAFAEL,PARANA,ALDEA SAN RAFAEL,3116,-31.9485703,-60.2594719
18650,ALDEA SANTA CELIA,GUALEGUAYCHU,,2826,-32.6617500,-58.7366740
32233,ALDEA SANTA MARIA,PARANA,ALDEA SANTA MARIA,3123,-31.6113210,-60.0062280
19679,ALDEA SANTA ROSA,PARANA,ALDEA SANTA ROSA,3116,-32.0164540,-60.2411070
32191,ALDEA SPATZENKUTTER,DIAMANTE,ALDEA SPATZENKUTTER,3101,-31.9460710,-60.5825770
8779,ALDEA VALLE MARIA,DIAMANTE,ALDEA VALLE MARIA,3101,-31.9907436,-60.5893860
19401,ALGARROBITOS 1RO,NOGOYA,,3150,,
32594,ALGARROBITOS SEGUNDA,NOGOYA,ARANGUREN,3163,,
32932,ALMADA,URUGUAY,ROCAMORA,3248,,
20072,ALTAMIRANO NORTE,TALA,,3177,-31.9962038,-59.2464906
20077,ALTAMIRANO SUD,TALA,ALTAMIRANO SUR,3174,-32.0888340,-59.1740710
32593,ANDREOLI,NOGOYA,DISTRITO CHIQUEROS,3150,,
32261,ANTELO,VICTORIA,ANTELO,3151,-32.5330690,-60.0364060
20057,ANTONIO TOMAS,PARANA,ANTONIO TOMAS,3125,-31.5453250,-59.9743540
9079,ANTONIO TOMAS SUD,PARANA,,3134,,
9045,ARANGUREN,NOGOYA,ARANGUREN,3162,-32.2443130,-60.1627988
32650,ARGENTINA,PARANA,PASO DE LAS PIEDRAS,3126,,
8648,ARROYO BARU,COLON,ARROYO BARU,3269,-31.8680191,-58.4467049
18660,ARROYO BUEN PASTOR,ISLAS DEL IBICUY,,2823,,
19685,ARROYO BURGOS,PARANA,ARROYO BURGOS,3133,-31.5467150,-59.7170680
17099,ARROYO CARABALLO,COLON,,3265,,
19042,ARROYO CEIBO,LA PAZ,,3191,,
8847,ARROYO CHAÑAR,FEDERAL,PASO DUARTE,3181,,
27840,ARROYO CLE,TALA,ARROYO CLE,2841,-32.6338910,-59.4016110
17118,ARROYO CONCEPCION,COLON,,3287,-31.7671751,-58.1450295
27845,ARROYO CORRALITO,PARANA,ARROYO CORRALITO,3122,-31.5325540,-60.0503450
8909,ARROYO DEL CURA,GUALEGUAYCHU,,2821,,
8845,ARROYO DEL MEDIO,FEDERAL,ARROYO DEL MEDIO,3144,-31.2729910,-59.0904180
27961,ARROYO GENA,URUGUAY,ARROYO GENA,3272,-32.5305970,-58.5571070
17125,ARROYO GRANDE,SAN SALVADOR,,3203,-31.5939851,-58.3711602
19046,ARROYO HONDO,LA PAZ,,3190,-30.6036041,-59.5275199
18691,ARROYO IBICUYCITO,ISLAS DEL IBICUY,,2805,,
20451,ARROYO JACINTO,VICTORIA,,3101,,
18692,ARROYO LA PACIENCIA,ISLAS DEL IBICUY,,2805,,
9080,ARROYO LAS TUNAS,PARANA,,3111,,
19689,ARROYO MARIA,PARANA,,3133,,
27847,ARROYO MATURRANGO,PARANA,ARROYO MATURRANGO,3133,-31.6522220,-59.9766670
20131,ARROYO MOLINO,URUGUAY,,3260,,
17632,ARROYO MOREIRA,CONCORDIA,,3181,,
20081,ARROYO OBISPO,TALA,,3174,-32.2084561,-59.1955428
17127,ARROYO PALMAR,COLON,,3218,,
27846,ARROYO PALO SECO,PARANA,ARROYO PALO SECO,3133,-31.6066670,-59.7622220
19692,ARROYO PANCHO,PARANA,,3111,,
18729,ARROYO SANCHEZ GRANDE,GUALEGUAYCHU,,2823,,
32543,ARROYO SEPULTURA,GUALEGUAY,ISLAS LAS LECHIGUANAS,2840,,
17129,ARROYO URQUIZA,COLON,,3280,,
18738,ARROYO VENERATO,GUALEGUAYCHU,,2821,,
32521,ASCONA,FEDERACION,GUALEGUAYCITO,3206,-31.2173910,-57.9280370
8858,ATENCIO,FELICIANO,,3187,-30.4293415,-58.7661881
9082,BAJADA GRANDE,PARANA,,3100,-31.7139111,-60.5725098
9173,BALNEARIO PELAY,URUGUAY,,3260,,
8846,BANDERITAS,FEDERAL,BANDERAS,3190,-30.7892410,-59.1601200
32526,BARRAGAN,FEDERAL,BANDERAS,3180,,
9083,BARRANCAS COLORADAS,PARANA,,3133,-31.6510070,-59.5644559
33168,BARROS,VILLAGUAY,LUCAS SUR SEGUNDO,3240,,
9174,BASAVILBASO,URUGUAY,BASAVILBASO,3170,-32.3725729,-58.8785609
32824,BASSI,URUGUAY,COLONIA ELIA,3260,,
8910,BERISSO,GUALEGUAYCHU,,2848,,
33834,BETBEDER,NOGOYA,HERNANDEZ,3146,-32.3724080,-59.9297600
32933,BOCA DE LAS PIEDRAS,VICTORIA,VICTORIA,3155,,
19703,BOCA DEL TIGRE,PARANA,ALDEA SANTA ROSA,3116,,
8988,BOVRIL,LA PAZ,BOVRIL,3142,-31.3436241,-59.4466934
27879,BRAZO LARGO,ISLAS DEL IBICUY,,1647,-33.7744655,-58.6085770
32523,CADEL,FEDERACION,SAN PEDRO,3228,-30.7175430,-58.1398010
8706,CALABACILLAS,CONCORDIA,,3203,,
32902,CAMBACUA,URUGUAY,COLONIA ELIA,3261,,
32547,CAMINO VECINAL - EX RUTA 17,GUALEGUAYCHU,PERDICES,2823,,
32829,CAMPICHUELO,URUGUAY,COLONIA ELIA,3260,,
32651,CAMPO FURLAN,PARANA,ALDEA SANTA MARIA,3126,,
32595,CAMPO GARCIA,NOGOYA,ALDEA SAN MIGUEL,3163,,
