id,nombre,partido,municipio,cp,latitud,longitud
23814,9 DE JULIO,PIRANE,PALO SANTO,3606,-25.5645125,-59.1023264
8365,AGUA VERDE,MATACOS,,3636,-23.6762443,-62.3102325
28462,AIBAL EL SILENCIO,BERMEJO,LAGUNA YEMA,3634,-24.3915763,-61.6964579
17635,ALTO ALEGRE,BERMEJO,,3634,-23.9839361,-60.8249516
8565,APAYEREY,PILAGAS,,3615,-24.9888520,-58.6919301
22148,B DEL RIACHO DE PILAGA,FORMOSA,,3600,-26.0718520,-57.9793605
8367,BAJO HONDO,BERMEJO,LAGUNA YEMA,3630,-24.0332916,-60.7659863
17651,BAJO VERDE,BERMEJO,,3634,-23.9370544,-60.6073043
8415,BANCO PAYAGUA,LAISHI,BANCO PAYAGUA,3601,-26.7069602,-58.3380609
23456,BARRIO SAN MARTIN,PILCOMAYO,LAGUNA NAINECK,3610,-25.2194744,-58.1355950
8473,BARTOLOME DE LAS CASAS,PATIÑO,BARTOLOME DE LAS CASAS,3622,-25.4075002,-59.5701461
8566,BELLA VISTA,PILAGAS,,3615,-25.0992818,-58.5648464
8453,BOLSA DE PALOMO,MATACOS,,3636,-24.1908517,-62.1000067
8368,BUEN LUGAR,BERMEJO,LAGUNA YEMA,3636,-23.6526644,-61.2826580
8567,BUENA VISTA,PILAGAS,BUENA VISTA,3615,-25.0185155,-58.4451833
28574,BUEY MUERTO,PILCOMAYO,CLORINDA,3639,-25.5173315,-57.5858881
8369,CABALLO MUERTO,BERMEJO,POZO DE MAZA,3636,-23.2904360,-61.7183342
8416,CABO ADRIANO AYALA,LAISHI,VILLA ESCOLAR,3526,-26.5149300,-58.8004947
23834,CABO NOROÑA,PIRANE,,3606,-25.9879958,-59.2882227
22900,CACIQUE COQUERO,PATIÑO,,3630,-24.6125530,-60.2986323
22771,CAMPO ALEGRE,PATIÑO,ESTANISLAO DEL CAMPO,3630,-25.1324734,-60.3312879
8476,CAMPO AZCURRA,PATIÑO,,3624,-25.3149893,-59.8635244
28491,CAMPO BANDERA,MATACOS,ING GUILLERMO NICASIO JUAREZ,3636,-24.0013631,-61.8779882
28539,CAMPO DE AVIACION,PATIÑO,COMANDANTE FONTANA,3620,-25.3611563,-59.6089045
8477,CAMPO DEL CIELO,PATIÑO,LAS LOMITAS,3624,-24.4779498,-60.4023670
17678,CAMPO EL SURI,BERMEJO,,3634,-24.2283814,-61.5995729
8454,CAMPO GRANDE,MATACOS,,3636,-24.1045345,-62.2151126
28492,CAMPO LA CRUZ,MATACOS,ING GUILLERMO NICASIO JUAREZ,3636,-24.0635353,-62.0066380
23838,CAMPO RIGONATO,PIRANE,,3606,-25.7578559,-59.3556056
28583,CAMPO SAN RAFAEL,PIRANE,MAYOR VICENTE E VILLAFAÑE,3609,-26.2776314,-59.0166517
22149,CAÑADA DOCE,FORMOSA,,3600,-25.8636646,-58.0878976
28525,CAÑADA RICA,RAMON LISTA,GENERAL MOSCONI,3637,-23.2746382,-62.2592104
8371,CAPITAN JUAN SOLA,BERMEJO,,3634,,
8639,CARLOS SAAVEDRA LAMAS,RAMON LISTA,,3636,,
23840,CASCO CUE,PIRANE,,3606,-25.7680163,-59.1332505
23472,CEIBO TRECE,PILCOMAYO,LAGUNA NAINECK,3610,-25.2329539,-58.2010530
28589,CENTRO FORESTAL PIRANE,PIRANE,PIRANE,3606,-25.7132013,-59.2239532
8418,CHURQUI CUE,LAISHI,HERRADURA,3601,-26.4842593,-58.2797640
8586,CLORINDA,PILCOMAYO,CLORINDA,3610,-25.2829808,-57.7201772
22783,CNIA ABORIGEN BME DE LAS CASAS,PATIÑO,COMANDANTE FONTANA,3630,-25.3475728,-59.6162845
28573,CNIA ABORIGEN MISION TACAAGLE,PILAGAS,MISION TACAAGLE,3614,-24.9589879,-58.8024880
28535,COLONIA 14 DE MAYO,PATIÑO,ESTANISLAO DEL CAMPO,3626,-25.1425694,-60.0498643
28590,COLONIA 15,PIRANE,PALO SANTO,3608,-25.6311176,-59.4928034
28561,COLONIA 20 DE JUNIO,PATIÑO,GENERAL BELGRANO,3616,-24.9084519,-59.1366690
23274,COLONIA 25 DE MAYO,PILAGAS,MISION TACAAGLE,3615,-24.9850417,-58.8884337
23842,COLONIA 5 DE OCTUBRE,PIRANE,PIRANE,3606,-25.8443641,-59.3348173
28624,COLONIA ABORIGEN CHICO DAWAGAN,PATIÑO,POSTA CAMBIO ZALAZAR,3629,-24.1901866,-59.9658916
28538,COLONIA ABORIGEN LA BOMBA,PATIÑO,LAS LOMITAS,3630,-24.6912341,-60.5839653
28582,COLONIA ABORIGEN LA PRIMAVERA,PILCOMAYO,LAGUNA NAINECK,3640,-25.1971803,-58.1978044
8471,COLONIA ALTO ALEGRE,PATIÑO,SUBTENIENTE PERIN,3620,-25.5636411,-59.8453996
8588,COLONIA BOUVIER,PILCOMAYO,CLORINDA,3611,-25.4550454,-57.5975036
22414,COLONIA CANO,LAISHI,GENERAL LUCIO V MANSILLA,3601,-26.8533360,-58.3259923
28554,COLONIA CEFERINO NAMUNCURA,PATIÑO,VILLA GENERAL GUEMES,3621,-24.5901488,-59.5135418
28591,COLONIA COPO BLANCO,PIRANE,PALO SANTO,3608,-25.5603354,-59.2741780
22182,COLONIA DALMACIA,FORMOSA,,3600,-25.8562131,-57.9051349
28552,COLONIA DANTE SANDRELLI,PATIÑO,SAN MARTIN DOS,3627,-24.4651155,-59.8048868
23849,COLONIA EL ALBA,PIRANE,EL COLORADO,3606,-26.3188226,-59.2319843
8480,COLONIA EL CATORCE,PATIÑO,,3624,-25.1834218,-59.9566685
28571,COLONIA EL CEIBO,PILAGAS,EL ESPINILLO,3615,-25.0810818,-58.5818226
28586,COLONIA EL CHAJA,PIRANE,MAYOR VICENTE E VILLAFAÑE,3609,-26.1480420,-58.9523253
28592,COLONIA EL COMIENZO,PIRANE,PALO SANTO,3608,-25.5877064,-59.3511351
28587,COLONIA EL DESAGUADERO,PIRANE,EL COLORADO,3603,-26.3237656,-59.2981547
28609,COLONIA EL DORADO,LAISHI,MISION SAN FRANCISCO DE LAISHI,3605,-26.2439017,-58.6172702
28610,COLONIA EL NARANJITO,LAISHI,MISION SAN FRANCISCO DE LAISHI,3605,-26.2260385,-58.6760867
23855,COLONIA EL OLVIDO,PIRANE,MAYOR VICENTE E VILLAFAÑE,3606,-26.0562975,-58.9634807
22881,COLONIA EL PAVAO,PATIÑO,VILLA GENERAL GUEMES,3630,-24.9370251,-59.5806498
28593,COLONIA EL PIQUETE,PIRANE,PIRANE,3606,-25.5333203,-58.9280300
28594,COLONIA EL PROGRESO,PIRANE,PALO SANTO,3608,-25.5119526,-59.3997881
27777,COLONIA EL RINCON,PIRANE,MAYOR VICENTE E VILLAFAÑE,3601,-26.1100732,-59.0932456
8481,COLONIA EL SILENCIO,PATIÑO,SUBTENIENTE PERIN,3624,-25.3956710,-59.9557310
23856,COLONIA EL ZAPALLITO,PIRANE,VILLA DOS TRECE,3606,-26.1226078,-59.3435959
28547,COLONIA ENSANCHE NORTE,PATIÑO,IBARRETA,3624,-25.1893527,-59.8695317
8479,COLONIA FRANCISCO J MUÑIZ,PATIÑO,,3630,-24.7341185,-60.5481668
8482,COLONIA GUILLERMINA,PATIÑO,,3624,,
23836,COLONIA HARDY,PIRANE,VILLA DOS TRECE,3606,-26.1472242,-59.4938986
22185,COLONIA ISLA DE ORO,FORMOSA,FORMOSA,3600,-26.2081004,-58.1421611
8483,COLONIA ISLA SOLA,PATIÑO,,3624,-25.2392410,-59.9739346
28585,COLONIA ITATI,PIRANE,MAYOR VICENTE E VILLAFAÑE,3609,-26.2182214,-59.0122628
8406,COLONIA ITUZAINGO,FORMOSA,SAN HILARIO,3601,-26.1440006,-58.7161681
27778,COLONIA JOSE M PAZ,PILCOMAYO,,3613,-25.1120005,-58.3645266
8484,COLONIA JUAN B ALBERDI,PATIÑO,,3626,-25.0622557,-60.0658740
8485,COLONIA JUANITA,PATIÑO,IBARRETA,3626,-25.1441116,-59.9207978
8621,COLONIA KILOMETRO 142,PIRANE,MAYOR VICENTE E VILLAFAÑE,3603,-26.3313464,-59.0678727
23859,COLONIA LA DISCIPLINA,PIRANE,,3606,-25.7874680,-59.3084869
22833,COLONIA LA MEDIA LUNA,PATIÑO,SUBTENIENTE PERIN,3634,-25.4413592,-60.0592016
28544,COLONIA LA PREFERIDA,PATIÑO,ESTANISLAO DEL CAMPO,3626,-25.0807156,-60.0409295
23515,COLONIA LA PRIMAVERA,PILCOMAYO,SIETE PALMAS,3610,-25.2045682,-58.2556810
28595,COLONIA LA UNION,PIRANE,VILLA DOS TRECE,3602,-26.1946157,-59.3145174
28545,COLONIA LAGO VERDE,PATIÑO,ESTANISLAO DEL CAMPO,3626,-25.1029936,-60.0085305
28611,COLONIA LAGUNA GOBERNADOR,LAISHI,MISION SAN FRANCISCO DE LAISHI,3605,-26.2118490,-58.6599050
28551,COLONIA LAKA WICHI,PATIÑO,POZO DEL TIGRE,3628,-24.9117030,-60.3544427
28580,COLONIA LOS SANTAFESINOS,PILCOMAYO,LAGUNA NAINECK,3640,-25.2765154,-58.0573375
22787,COLONIA LOS TRES REYES,PATIÑO,VILLA GENERAL GUEMES,3630,-24.8032387,-59.5340264
28560,COLONIA NAPENAY,PATIÑO,COMANDANTE FONTANA,3620,-25.1752344,-59.6890280
28596,COLONIA PAMPA VILLANUEVA,PIRANE,EL COLORADO,3603,-26.2741528,-59.3190236
31572,COLONIA PASTORIL,FORMOSA,FORMOSA,3601,-25.6707720,-58.2611490
8488,COLONIA RECONQUISTA,PATIÑO,,3624,-25.3067189,-59.8632260
28597,COLONIA RODA,PIRANE,PIRANE,3606,-25.9998533,-59.5675946
8579,COLONIA SALVACION,PIRANE,PALO SANTO,3611,-25.2563426,-58.9399692
8445,COLONIA SAN ANTONIO,LAISHI,MISION SAN FRANCISCO DE LAISHI,3601,-26.2077550,-58.6307875
28548,COLONIA SAN ANTONIO,PATIÑO,IBARRETA,3624,-25.3197537,-59.9558318
22413,COLONIA SAN ISIDRO,LAISHI,VILLA ESCOLAR,3526,-26.4703245,-58.8494963
8489,COLONIA SAN ISIDRO,PATIÑO,GENERAL BELGRANO,3630,-24.9245077,-58.9970103
8490,COLONIA SAN JOSE,PATIÑO,SAN MARTIN DOS,3626,-24.5014463,-59.4605524
22792,COLONIA SAN PABLO,PATIÑO,VILLA GENERAL GUEMES,3630,-24.5792084,-59.6569977
28620,COLONIA SAN PEDRO,PATIÑO,SUBTENIENTE PERIN,3619,-25.6927968,-59.9497671
28621,COLONIA SAN ROQUE,PATIÑO,SUBTENIENTE PERIN,3619,-25.4138095,-59.9927801
28598,COLONIA SANTA CRUZ,PIRANE,PIRANE,3606,-25.4654551,-58.6156860
23277,COLONIA SANTA ROSA,PILAGAS,PORTON NEGRO,3615,-24.9256052,-58.7278727
22911,COLONIA SANTA ROSA,PATIÑO,POSTA CAMBIO ZALAZAR,3630,-24.2184506,-60.0521808
17736,COLONIA SANTA ROSA,BERMEJO,LOS CHIRIGUANOS,3634,-23.7880327,-61.4836540
8497,COLONIA SARMIENTO,PATIÑO,COLONIA SARMIENTO,3621,-24.6436505,-59.4332131
28579,COLONIA SARMIENTO,PILCOMAYO,LAGUNA NAINECK,3640,-25.2111169,-58.0748609
22800,COLONIA SIETE QUEBRACHOS,PATIÑO,IBARRETA,3624,-25.2907568,-59.8990943
23459,COLONIA SUDAMERICANA,PILCOMAYO,SIETE PALMAS,3610,-25.2092773,-58.3090984
8554,COLONIA TATANE,PATIÑO,COMANDANTE FONTANA,3601,-25.2560889,-59.7068534
8420,COLONIA TATANE,LAISHI,TATANE,3626,-26.3980075,-58.3537796
8491,COLONIA UNION ESCUELA,PATIÑO,VILLA GENERAL GUEMES,3626,-24.7768512,-59.6860813
22803,COLONIA VILLA RICA,PATIÑO,BARTOLOME DE LAS CASAS,3630,-25.3080569,-59.2645960
28599,COLONIA WEITZEL,PIRANE,VILLA DOS TRECE,3602,-26.1363479,-59.5440810
31586,COLONIA YATAY,LAISHI,TATANE,3645,-26.4143740,-58.5728180
8492,COMANDANTE FONTANA,PATIÑO,COMANDANTE FONTANA,3620,-25.3333081,-59.6795888
28524,COMUNIDAD 7 DE JUNIO,RAMON LISTA,GENERAL MOSCONI,3637,-23.2429985,-62.2224364
