id,nombre,partido,municipio,cp,latitud,longitud
13193,23 DE AGOSTO,LEDESMA,,4504,-23.7806454,-64.6566238
13055,ABDON CASTRO TOLAY,COCHINOCA,ABDON CASTRO TOLAY,4641,-23.3362293,-66.0937119
31731,ABRA CASTILLA,COCHINOCA,PUESTO DEL MARQUES,4644,,
31895,ABRA COLORADA,TUMBAYA,EL MORENO,4618,,
31724,ABRA COLORADA,YAVI,PUMAHUASI,4644,,
31967,ABRA DE DESPENSA,DR MANUEL BELGRANO,YALA,4616,,
31627,ABRA DE LAGUNA,RINCONADA,MINA PIRQUITAS,4643,,
31765,ABRA DE LLUMPAITE,COCHINOCA,ABRA PAMPA,4640,,
31943,ABRA DE LOS BARRIOS,TILCARA,TILCARA,4624,,
16656,ABRA DE PEÑAS,YAVI,,4650,,
23987,ABRA DE PIVES,TUMBAYA,,4618,,
23991,ABRA DEL PALOMAR,TUMBAYA,EL MORENO,4618,,
23843,ABRA DEL TRIGO,SANTA BARBARA,,4501,,
13300,ABRA MAYO,TILCARA,,4624,-23.7752524,-65.2980478
13056,ABRA PAMPA,COCHINOCA,ABRA PAMPA,4640,-22.7207680,-65.6960831
13057,ABRALAITE,COCHINOCA,ABRALAITE,4634,-23.1538170,-65.7853350
23988,ACHACAMAYOC,TUMBAYA,,4618,,
31853,ACHICOTE,HUMAHUACA,HUMAHUACA,4630,,
32020,AFATAL,SANTA BARBARA,SANTA CLARA,4501,,
23989,AGUA BENDITA,TUMBAYA,,4618,-23.8320560,-65.4755783
31862,AGUA BLANCA,HUMAHUACA,HUMAHUACA,4630,,
32075,AGUA CALIENTE,COCHINOCA,ABRALAITE,4640,,
13058,AGUA CALIENTE DE LA PUNA,COCHINOCA,,4641,-22.8414623,-66.0792786
13059,AGUA CHICA,COCHINOCA,,4640,-22.9351349,-65.7536392
31704,AGUA CHICA,YAVI,YAVI,4651,,
31738,AGUA CHICA DE RONQUE,COCHINOCA,ABRALAITE,4640,,
31889,AGUA COLORADA,TUMBAYA,EL MORENO,4618,,
23441,AGUA DE CASTILLA,COCHINOCA,,4640,-23.2161107,-65.8126833
27619,AGUA DE CASTILLA,YAVI,,4651,,
31808,AGUA DEL INCA,HUMAHUACA,TRES CRUCES,4634,,
32007,AGUA DULCE,SANTA BARBARA,VIÑALITO,4518,,
31793,AGUA DULCE,COCHINOCA,ABDON CASTRO TOLAY,4641,,
32028,AGUA HEDIONDA,SANTA BARBARA,PALMA SOLA,4501,,
31927,AGUA MARIA,TILCARA,TILCARA,4624,,
23575,AGUA NEGRA,LEDESMA,,4512,-23.8313751,-65.0166016
23848,AGUAS BLANCAS,SANTA BARBARA,,4501,,
31547,AGUAS CALIENTES,EL CARMEN,AGUAS CALIENTES,4431,-24.5849930,-64.9236500
27821,AGUAS CALIENTES,SANTA BARBARA,,4518,,
31745,AGUAS TERMALES,COCHINOCA,ABRA PAMPA,4640,,
31741,AGUILAR CHICO,COCHINOCA,ABRALAITE,4640,,
31945,ALDEA LUNA,DR MANUEL BELGRANO,SAN SALVADOR DE JUJUY,4600,,
16621,ALEGRIA,LEDESMA,,4506,,
13301,ALFARCITO,TILCARA,,4624,-23.5871507,-65.3632074
31638,ALFARCITO,SANTA CATALINA,CIENEGUILLAS,4653,,
31818,ALFARITO,HUMAHUACA,EL AGUILAR,4634,,
