id,nombre,partido,municipio,cp,latitud,longitud
14103,ABRA VERDE,ROSARIO VERA PEÑALOZA,,5470,-31.3835964,-66.6269531
30194,AGUA BLANCA,CASTRO BARROS,CASTRO BARROS,5301,-28.9646501,-67.0005139
14104,AGUA BLANCA,ROSARIO VERA PEÑALOZA,,5471,-31.7035573,-66.2855435
14043,AGUA COLORADA,GENERAL OCAMPO,,5275,-30.8832590,-66.1958700
13986,AGUA COLORADA,GENERAL BELGRANO,,5383,-30.5589266,-66.1610420
29983,AGUA COLORADA,INDEPENDENCIA,INDEPENDENCIA,5386,-30.0697782,-67.4843356
29979,AGUA DE ABAJO,CORONEL FELIPE VARELA,CORONEL FELIPE VARELA,5361,-29.5849374,-67.7638969
14105,AGUA DE LA PIEDRA,ROSARIO VERA PEÑALOZA,,5475,-31.2554490,-66.3909596
14106,AGUA DE PIEDRA,ROSARIO VERA PEÑALOZA,,5470,,
29982,AGUA DEL MEDIO,INDEPENDENCIA,INDEPENDENCIA,5386,-30.0154240,-67.4932682
29976,AGUA DEL ZAPALLO,CORONEL FELIPE VARELA,CORONEL FELIPE VARELA,5361,-29.3936422,-67.8746329
13892,AGUADA,CASTRO BARROS,,5301,,
30201,AGUADITA,CAPITAL,CAPITAL,5300,-29.8093735,-66.9594207
29970,AGUADITA,CORONEL FELIPE VARELA,CORONEL FELIPE VARELA,5353,-29.3173230,-68.7203946
14010,AGUADITA,GENERAL JUAN FACUNDO QUIROGA,,5385,,
30020,AGUADITA DE LAS VALDECES,GENERAL ANGEL VICENTE PEÑALOZA,GENERAL ANGEL V PEÑALOZA,5385,-30.5177225,-66.8664585
29995,AGUANCO,INDEPENDENCIA,INDEPENDENCIA,5386,-30.4450064,-67.3596415
14077,AGUAYO,GENERAL SAN MARTIN,,5473,-31.6917864,-65.8866351
13928,AICUÑA,CORONEL FELIPE VARELA,,5361,-29.4716281,-67.7755392
13831,AIMOGASTA,ARAUCO,ARAUCO,5310,-28.5604229,-66.8074951
13971,ALCAZAR,GENERAL ANGEL VICENTE PEÑALOZA,,5385,-30.3646947,-66.5472309
20697,ALGARROBO GRANDE,GENERAL SAN MARTIN,,5473,-31.7800411,-65.8990063
30076,ALGARROBO LARGO,GENERAL JUAN FACUNDO QUIROGA,GENERAL JUAN F QUIROGA,5385,-30.8661286,-66.7890094
29952,ALLACAN,ARAUCO,ARAUCO,5311,-28.5261089,-66.9587308
30138,ALMAFUERTE,CHILECITO,CHILECITO,5360,-29.3869842,-67.4220157
14145,ALPASINCHE,SAN BLAS DE LOS SAUCES,,5325,-28.3246614,-67.0582441
14044,ALTILLO DEL MEDIO,GENERAL OCAMPO,,5274,,
14107,ALTO BAYO,ROSARIO VERA PEÑALOZA,,5470,-31.5781378,-66.5086632
13947,ALTO CARRIZAL,FAMATINA,,5361,-28.8665016,-67.5720016
29963,ALTO DEL BUMBON,CORONEL FELIPE VARELA,CORONEL FELIPE VARELA,5369,-29.5245056,-68.0699518
14173,ALTO JAGUE,VINCHINA,,5359,-28.6399973,-68.3497976
29929,ALUMBRERA,GENERAL LAMADRID,GENERAL LAMADRID,5355,-28.6922964,-69.1521199
14097,AMANA,INDEPENDENCIA,,5386,-30.0549710,-67.5034719
14045,AMBIL,GENERAL OCAMPO,,5475,-31.1307692,-66.3435608
13844,AMILGANCHO,CAPITAL,,5300,,
13893,AMINGA,CASTRO BARROS,CASTRO BARROS,5301,-28.8482610,-66.9300480
20322,AMPATA,CAPITAL,,5300,-29.7284784,-66.6102281
30177,AMPIZA DE ARRIBA,CAPITAL,CAPITAL,5300,-29.7758689,-66.9602435
14146,AMUSCHINA,SAN BLAS DE LOS SAUCES,,5329,-28.5731374,-67.1852358
13845,ANCHICO,CAPITAL,,5301,-29.5749327,-66.4362940
21844,ANCHUMBIL,CORONEL FELIPE VARELA,,5361,-29.2651570,-68.1716540
30064,ANDACOY,GENERAL JUAN FACUNDO QUIROGA,GENERAL JUAN F QUIROGA,5385,-30.6164552,-67.2624851
30070,ANDAREOYA,GENERAL JUAN FACUNDO QUIROGA,GENERAL JUAN F QUIROGA,5385,-30.7092439,-66.9725878
14147,ANDOLUCAS,SAN BLAS DE LOS SAUCES,,5329,-28.5000023,-67.1335625
13909,ANGUINAN,CHILECITO,CHILECITO,5363,-29.1977558,-67.4506226
13948,ANGULOS,FAMATINA,,5361,-28.6536819,-67.6552720
13894,ANILLACO,CASTRO BARROS,CASTRO BARROS,5301,-28.8210812,-66.9482727
13895,ANJULLON,CASTRO BARROS,CASTRO BARROS,5303,-28.7189846,-66.9300537
13949,ANTINACO,FAMATINA,FAMATINA,5361,-28.8226299,-67.3029480
14050,ANZULON,GENERAL OCAMPO,GENERAL OCAMPO,5275,-30.8578993,-66.2666698
13832,ARAUCO,ARAUCO,ARAUCO,5311,-28.5553800,-66.8013860
30132,ARGAÑARAZ,CHILECITO,CHILECITO,5360,-29.1811587,-67.6431491
30004,ATILES,GENERAL JUAN FACUNDO QUIROGA,GENERAL JUAN F QUIROGA,5385,-30.7582845,-66.6709194
27650,BAJO CARRIZAL,FAMATINA,FAMATINA,5361,-28.8885937,-67.5647036
20716,BAJO CORRAL DE ISAAC,GENERAL SAN MARTIN,,5473,,
20804,BAJO DE GALLO,INDEPENDENCIA,,5386,,
30027,BAJO DEL GALLO,GENERAL ANGEL VICENTE PEÑALOZA,GENERAL ANGEL V PEÑALOZA,5385,-30.4018841,-66.8660287
13987,BAJO GRANDE,GENERAL BELGRANO,,5383,-30.5714562,-66.1447612
13846,BAJO HONDO,CAPITAL,,5300,-29.7781020,-66.5903395
20699,BAJO HONDO,GENERAL SAN MARTIN,,5473,-31.6863938,-66.0115111
14174,BAJO JAGUE,VINCHINA,,5359,,
30015,BAJO VERDE,GENERAL ANGEL VICENTE PEÑALOZA,GENERAL ANGEL V PEÑALOZA,5385,-30.3798129,-66.5943553
30116,BAJOS DE LUCAS,CHAMICAL,CHAMICAL,5380,-30.3828040,-66.2577893
30115,BALDE DE ARRIBA,CHAMICAL,CHAMICAL,5380,-30.4053050,-66.3226512
20700,BALDE DEL QUEBRACHO,GENERAL SAN MARTIN,,5473,,
20774,BALDE SALADO,GENERAL OCAMPO,,5274,-31.1857735,-65.8370181
13988,BALDE SALADO,GENERAL BELGRANO,,5383,,
20825,BALDE SAN ISIDRO,INDEPENDENCIA,,5386,-30.2963980,-67.4406336
13989,BALDES DE PACHECO,GENERAL BELGRANO,,5276,-30.6624368,-66.0637261
30048,BALDES SUR,GENERAL BELGRANO,GENERAL BELGRANO,5276,-30.6711958,-66.0962964
13833,BAÑADOS DEL PANTANO,ARAUCO,ARAUCO,5310,-28.3828278,-66.8294158
13929,BANDA FLORIDA,CORONEL FELIPE VARELA,CORONEL FELIPE VARELA,5351,-29.3032950,-68.2439876
14108,BARRANQUITAS,ROSARIO VERA PEÑALOZA,,5474,,
14114,BARREAL DE MASCASIN,ROSARIO VERA PEÑALOZA,ROSARIO VERA PEÑALOZA,5470,-31.2070354,-67.0496688
20912,BAYO MUERTO,ROSARIO VERA PEÑALOZA,,5470,-31.1348008,-66.8100241
13847,BAZAN,CAPITAL,,5300,-29.1764764,-66.6614829
13967,BELLA VISTA,CHAMICAL,,5381,-30.5057654,-66.2581695
20984,BOCA DE LA QUEBRADA,VINCHINA,,5359,-28.5104810,-68.5121924
30146,BUENA VISTA,CAPITAL,CAPITAL,5300,-29.0200333,-66.0974317
20968,BUENA VISTA,VINCHINA,,5359,-28.7939836,-68.2309972
30214,BUENA VISTA,FAMATINA,FAMATINA,5361,-28.5414822,-67.6383349
13910,CACHIYUYAL,CHILECITO,,5367,,
29928,CAJON DE LA BREA,GENERAL LAMADRID,GENERAL LAMADRID,5355,-28.6843606,-69.1940528
30024,CALASACAN,GENERAL ANGEL VICENTE PEÑALOZA,GENERAL ANGEL V PEÑALOZA,5385,-30.5529676,-66.5151141
13843,CAMPANAS,FAMATINA,FAMATINA,5361,-28.5521202,-67.6303329
30084,CAMPO BLANCO,GENERAL JUAN FACUNDO QUIROGA,GENERAL JUAN F QUIROGA,5471,-31.0820724,-67.0338832
13848,CAMPO TRES POZOS,CAPITAL,,5301,-29.3916700,-66.5988981
14109,CAÑADA HONDA,ROSARIO VERA PEÑALOZA,,5470,,
14078,CAÑADA VERDE,GENERAL SAN MARTIN,,5471,,
20954,CAPIHUAS,SAN BLAS DE LOS SAUCES,,5327,,
29925,CARNERITO,GENERAL LAMADRID,GENERAL LAMADRID,5355,-28.4164961,-69.1834918
20323,CARRIZAL,CAPITAL,,5306,-28.9949626,-66.6315213
16586,CARRIZAL,GENERAL ANGEL VICENTE PEÑALOZA,GENERAL ANGEL V PEÑALOZA,5385,-30.6466929,-66.6746321
13952,CARRIZALILLO,FAMATINA,,5361,,
20588,CARRIZALILLO,GENERAL JUAN FACUNDO QUIROGA,,5385,,
14175,CASA PINTADA,VINCHINA,,5359,-28.3822373,-68.0003388
20589,CASAGATE,GENERAL JUAN FACUNDO QUIROGA,,5385,,
14012,CASANGATE,GENERAL JUAN FACUNDO QUIROGA,,5385,-30.7678874,-66.4955443
14110,CASAS VIEJAS,ROSARIO VERA PEÑALOZA,,5471,-31.0951990,-66.5095957
15672,CASTRO BARROS,GENERAL BELGRANO,GENERAL BELGRANO,5276,-30.5805705,-65.7286166
13911,CATINZACO,CHILECITO,,5374,-29.6570728,-67.3917175
