id,nombre,partido,municipio,cp,latitud,longitud
9374,1 DE MAYO,CAINGUAS,,3362,-27.1713990,-55.0248332
29107,11 DE SEPTIEMBRE,SAN JAVIER,FLORENTINO AMEGHINO,3360,-27.6363862,-55.1348837
29573,12 DE OCTUBRE,IGUAZU,PUERTO ESPERANZA,3378,-26.1386799,-54.5120419
27564,17 DE AGOSTO,GUARANI,EL SOBERBIO,3338,-27.2876837,-54.2994024
27556,2 DE ABRIL,GUARANI,EL SOBERBIO,3338,-27.0701983,-54.2246255
9367,2 DE MAYO,CAINGUAS,2 DE MAYO,3364,-27.0197080,-54.6844610
29408,20 DE JUNIO,SAN IGNACIO,CORPUS,3327,-27.1493062,-55.4650196
9506,22 DE DICIEMBRE,IGUAZU,,3378,,
9308,25 DE MAYO,25 DE MAYO,25 DE MAYO,3363,-27.3776321,-54.7440910
29565,28 DE DICIEMBRE,GENERAL MANUEL BELGRANO,ANDRESITO,3385,-25.7988737,-53.9017962
9560,3 DE MAYO,LIBERTADOR GRAL SAN MARTIN,GARUHAPE,3334,-26.7927035,-54.9016060
29385,9 DE JULIO KILOMETRO 20,ELDORADO,9 DE JULIO,3380,-26.4163220,-54.4982300
27550,ADOLFO J POMAR,CAINGUAS,,3337,-27.1809842,-54.5782803
29657,AGUAI POTY,ELDORADO,COLONIA DELICIA,3382,-26.2046651,-54.5888065
29656,AGUARAY MINI,ELDORADO,COLONIA DELICIA,3382,-26.2087884,-54.5912311
9310,ALBA POSSE,25 DE MAYO,ALBA POSSE,3363,-27.5698490,-54.6817055
29662,ALDEA GUAPOY,IGUAZU,PUERTO LIBERTAD,3374,-25.8646190,-54.5553301
29653,ALECRIN,SAN PEDRO,SAN PEDRO,3352,-26.4824659,-54.1357271
20452,ALTA UNION,25 DE MAYO,COLONIA AURORA,3364,-27.2700908,-54.4091422
29604,AMBAY POTY,LIBERTADOR GRAL SAN MARTIN,RUIZ DE MONTOYA,3330,-27.0517230,-55.0581923
29681,ANA POTY,CANDELARIA,SANTA ANA,3316,-27.3558134,-55.5916296
29674,ANDRES GUACURARI,IGUAZU,PUERTO LIBERTAD,3374,-25.7697255,-54.5388553
9605,APARICIO CUE,SAN IGNACIO,,3322,-27.3088686,-55.4512506
9334,APOSTOLES,APOSTOLES,APOSTOLES,3350,-27.9151306,-55.7543144
9361,ARISTOBULO DEL VALLE,CAINGUAS,ARISTOBULO DEL VALLE,3364,-27.0973663,-54.8940315
9442,ARRECHEA,CONCEPCION,,3355,,
29823,ARROYO DEL MEDIO,LEANDRO N ALEM,ARROYO DEL MEDIO,3814,-27.6991370,-55.4044430
9577,ARROYO FEDOR,SAN JAVIER,,3360,-27.6247994,-55.0848204
29644,ARROYO ISLA,MONTECARLO,MONTECARLO,3384,-26.5841515,-54.4449717
9376,ARROYO MAGDALENA,CANDELARIA,,3317,-27.4174519,-55.4673124
29431,ARROYO MORENO,LIBERTADOR GRAL SAN MARTIN,GARUHAPE,3396,-26.9056823,-54.9168366
29640,ARROYO NUEVE,MONTECARLO,CARAGUATAY,3372,-26.8531087,-54.5258434
9377,ARROYO PASTORA,CANDELARIA,,3316,-27.3701779,-55.5354162
9444,ARROYO SANTA MARIA,CONCEPCION,,3353,-27.8902064,-55.4254188
29692,ARROYO TACUARA,SAN IGNACIO,SANTO PIPO,3326,-27.2595174,-55.2573375
9378,ARROYO TOMAS,LEANDRO N ALEM,CERRO AZUL,3309,-27.6245635,-55.6081790
29571,ARROYO VERDE,GENERAL MANUEL BELGRANO,ANDRESITO,3385,-25.6432155,-53.9303132
9606,ARROYO YABEBIRI,SAN IGNACIO,,3322,,
9336,AZARA,APOSTOLES,AZARA,3351,-28.0595875,-55.6765747
29494,BAJO PEPIRI,GENERAL MANUEL BELGRANO,BERNARDO DE IRIGOYEN,3366,-26.3239012,-53.6770625
29114,BAÑADO CHICO,LEANDRO N ALEM,LEANDRO N ALEM,3315,-27.5774849,-55.3661907
9379,BAÑADO GRANDE,LEANDRO N ALEM,ALMAFUERTE,3317,-27.5207587,-55.4344941
29544,BARBACUA,GENERAL MANUEL BELGRANO,SAN ANTONIO,3383,-26.0799338,-53.8152580
20348,BARRA BONITA,25 DE MAYO,,3357,-27.6015685,-54.8451660
9445,BARRA CONCEPCION,CONCEPCION,,3355,-28.1130809,-55.5642514
29452,BARRA GRANDE,25 DE MAYO,25 DE MAYO,3379,-27.3516449,-54.7112589
9674,BARRACON,SAN PEDRO,,3364,,
9477,BARRACON,GENERAL MANUEL BELGRANO,,3366,,
9562,BARRANCON,MONTECARLO,,3384,,
9579,BAYO TRONCHO,OBERA,,3360,-27.5822999,-55.0153240
9380,BELLA VISTA,CANDELARIA,CERRO CORA,3309,-27.5175991,-55.5512161
29511,BELLO HORIZONTE,SAN PEDRO,SAN PEDRO,3352,-26.7462177,-54.2326561
29688,BERNARDINO RIVADAVIA,CAINGUAS,2 DE MAYO,3397,-27.0130590,-54.6083870
9478,BERNARDO DE IRIGOYEN,GENERAL MANUEL BELGRANO,BERNARDO DE IRIGOYEN,3366,-26.2522961,-53.6470550
29094,BLANES,SAN JAVIER,ITACARUARE,3353,-27.9021333,-55.2529847
29098,BOLOROLE,SAN JAVIER,SAN JAVIER,3357,-27.8481363,-55.0430992
9381,BONPLAND,CANDELARIA,BONPLAND,3317,-27.4843655,-55.4763832
29088,CAA GUAZU,CONCEPCION,SANTA MARIA,3355,-27.8524027,-55.3918876
27766,CAA YARI,LEANDRO N ALEM,CAA YARI,3315,-27.4851531,-55.2988390
9384,CAAPORA,CANDELARIA,,3316,,
9479,CABUREI,GENERAL MANUEL BELGRANO,ANDRESITO,3371,-25.6816877,-54.1428605
9363,CAINGUAS,CAINGUAS,,3364,-27.1896439,-54.5504459
9385,CAMPIÑA DE BONPLAND,CANDELARIA,,3317,-27.4669204,-55.4257905
20439,CAMPIÑAS DE AMERICA,GENERAL MANUEL BELGRANO,,3366,-26.2773983,-53.7064699
20444,CAMPO ALEGRE,GENERAL MANUEL BELGRANO,SAN ANTONIO,3366,-25.9796878,-53.8242005
29083,CAMPO GENTILINI,APOSTOLES,SAN JOSE,3307,-27.7920885,-55.7167469
9364,CAMPO GRANDE,CAINGUAS,CAMPO GRANDE,3362,-27.2081127,-54.9795418
9580,CAMPO RAMON,OBERA,CAMPO RAMON,3361,-27.4597759,-55.0278931
9581,CAMPO VIERA,OBERA,CAMPO VIERA,3362,-27.3322182,-55.0504913
9387,CANDELARIA,CANDELARIA,CANDELARIA,3308,-27.4613724,-55.7476082
9536,CAPIOVI,LIBERTADOR GRAL SAN MARTIN,CAPIOVI,3332,-26.9287071,-55.0598183
29826,CAPIOVICITO,LIBERTADOR GRAL SAN MARTIN,CAPIOVI,3816,-26.8914000,-55.0714000
9487,CAPITAN ANTONIO MORALES,GUARANI,,3364,-26.9028039,-54.4165548
29554,CAPITAN PEDRO GIACHINO,GENERAL MANUEL BELGRANO,SAN ANTONIO,3383,-25.9687341,-53.8951656
9538,CAPIVU,LIBERTADOR GRAL SAN MARTIN,,3332,,
29553,CARACOL,GENERAL MANUEL BELGRANO,SAN ANTONIO,3383,-26.0013841,-53.8796831
9563,CARAGUATAY,MONTECARLO,CARAGUATAY,3386,-26.6571991,-54.7384905
29638,CARAMELITO,GUARANI,EL SOBERBIO,3338,,
9493,CATARATAS DEL IGUAZU,IGUAZU,,3372,-25.6811750,-54.4481101
9339,CENTINELA,APOSTOLES,,3306,-27.7824110,-55.8185307
9511,CERRO AZUL,LEANDRO N ALEM,CERRO AZUL,3313,-27.6361961,-55.4933090
29610,CERRO AZUL,LIBERTADOR GRAL SAN MARTIN,GARUHAPE,3396,-27.0223286,-54.9374586
9389,CERRO CORA,CANDELARIA,CERRO CORA,3309,-27.5112074,-55.6061760
9446,CERRO MARTIRES,CONCEPCION,SANTA MARIA,3355,-27.8198819,-55.4136512
29437,CERRO MONJE,CAINGUAS,ARISTOBULO DEL VALLE,3364,-27.0127031,-54.8361926
29542,CERRO SIETE,GENERAL MANUEL BELGRANO,SAN ANTONIO,3383,-26.1310620,-53.7292716
29091,CERRO VOLCAN,SAN JAVIER,ITACARUARE,3353,-27.8031878,-55.3433341
29677,CHAPA I,SAN IGNACIO,SAN IGNACIO,3322,-27.2448157,-55.5219056
29103,CHICO ALFEREZ,SAN JAVIER,FLORENTINO AMEGHINO,3360,-27.7516579,-55.0086324
9341,CHIRIMAY,APOSTOLES,,3350,-28.0922794,-55.6901935
29100,CINCO MIL,SAN JAVIER,MOJON GRANDE,3325,-27.7500183,-55.0711203
20495,CITRUS,MONTECARLO,,3384,,
17003,COLONIA 9 DE JULIO,25 DE MAYO,ALBA POSSE,3363,-27.5472233,-54.7615159
29589,COLONIA ABORIGEN EL CHAPA,SAN IGNACIO,SAN IGNACIO,3322,,
9309,COLONIA ACARAGUA,25 DE MAYO,ALBA POSSE,3361,-27.4805739,-54.8494201
9512,COLONIA ALBERDI,LEANDRO N ALEM,OLEGARIO VICTOR ANDRADE,3311,-27.6041360,-55.5357524
9582,COLONIA ALBERDI,OBERA,COLONIA ALBERDI,3361,-27.3569656,-55.2326586
29450,COLONIA ALBORADA,25 DE MAYO,25 DE MAYO,3379,-27.5161232,-54.6376381
9390,COLONIA ALEMANA,LEANDRO N ALEM,OLEGARIO VICTOR ANDRADE,3309,-27.5510610,-55.5391675
9312,COLONIA ALICIA,25 DE MAYO,COLONIA AURORA,3363,-27.3801235,-54.3537799
29461,COLONIA ALICIA BAJA,25 DE MAYO,COLONIA AURORA,3363,-27.4364184,-54.3551780
9513,COLONIA ALMAFUERTE,LEANDRO N ALEM,ALMAFUERTE,3317,-27.5062138,-55.4018892
29590,COLONIA ANDRESITO,SAN IGNACIO,SAN IGNACIO,3322,-27.2704320,-55.4932254
27769,COLONIA APARECIDA,25 DE MAYO,COLONIA AURORA,3363,-27.2787208,-54.4590608
9342,COLONIA APOSTOLES,APOSTOLES,,3350,-27.9960699,-55.7490665
9391,COLONIA ARISTOBULO DEL VALLE,CANDELARIA,,3317,,
29782,COLONIA AURORA,25 DE MAYO,COLONIA AURORA,3363,-27.4740110,-54.5239850
29482,COLONIA BARRA CHAFARIZ,25 DE MAYO,COLONIA AURORA,3363,-27.3967760,-54.3183061
29487,COLONIA BERNARDINO RIVADAVIA,GUARANI,SAN VICENTE,3356,-27.0197496,-54.5504792
9514,COLONIA CAAGUAZU,LEANDRO N ALEM,,3315,-27.7441168,-55.3830107
29415,COLONIA CARLOSCAR,SAN IGNACIO,SANTO PIPO,3326,-27.2222185,-55.3220558
29433,COLONIA CARRIL,LIBERTADOR GRAL SAN MARTIN,EL ALCAZAR,3390,-27.0230980,-54.7752907
20453,COLONIA CHAFARIZ,GUARANI,,3364,-27.1573667,-54.4084637
9654,COLONIA CUMANDAY,SAN JAVIER,,3357,,
29537,COLONIA DELICIA,ELDORADO,COLONIA DELICIA,3382,-26.2378370,-54.6032990
9608,COLONIA DOMINGO SAVIO,SAN IGNACIO,SAN IGNACIO,3322,-27.3546876,-55.3368345
29414,COLONIA EL CEDRAL,SAN IGNACIO,SANTO PIPO,3326,-27.2169254,-55.1476166
9315,COLONIA EL PROGRESO,25 DE MAYO,,3363,-27.3983467,-54.4490017
9400,COLONIA FINLANDESA,LEANDRO N ALEM,CAA YARI,3317,,
9515,COLONIA FINLANDESA,OBERA,SAN MARTIN,3317,-27.4632643,-55.3369644
29421,COLONIA FLORA,LIBERTADOR GRAL SAN MARTIN,PUERTO LEONI,3333,-26.9959847,-55.1452737
29516,COLONIA FLORIDA,GUARANI,SAN VICENTE,3356,-27.0548630,-54.3921436
20514,COLONIA FLORIDA,OBERA,,3384,,
20522,COLONIA FORTALEZA,SAN PEDRO,SAN PEDRO,3364,-26.7284491,-54.1877119
20523,COLONIA GRAMADO,SAN PEDRO,,3364,-26.5759398,-54.0552929
29102,COLONIA GUARANI,SAN JAVIER,MOJON GRANDE,3325,-27.6511996,-55.1542905
20443,COLONIA ITATI,SAN PEDRO,POZO AZUL,3366,-26.2730128,-53.8266662
9609,COLONIA JAPONESA,SAN IGNACIO,,3328,-27.2557430,-55.4680061
20524,COLONIA JUANITA,SAN PEDRO,,3364,-26.3799169,-53.8962728
29141,COLONIA JULIO MARTIN,OBERA,CAMPO VIERA,3375,-27.2983708,-55.1169821
29495,COLONIA LA FLOR,GUARANI,EL SOBERBIO,3338,-27.0440117,-54.1625547
20527,COLONIA LA GRUTA,SAN PEDRO,,3364,,
9539,COLONIA LA OTILIA,LIBERTADOR GRAL SAN MARTIN,,3332,,
20528,COLONIA LA POLACA,SAN PEDRO,,3364,,
9610,COLONIA LEIVA,SAN IGNACIO,,3326,,
9545,COLONIA LOS TEALES,SAN IGNACIO,JARDIN AMERICA,3328,-27.0613920,-55.1009555
29429,COLONIA LUJAN,LIBERTADOR GRAL SAN MARTIN,GARUHAPE,3396,-26.6938900,-54.8959288
27558,COLONIA MANUEL BELGRANO,GUARANI,SAN VICENTE,3338,-27.1263140,-54.4600383
9393,COLONIA MARTIRES,CANDELARIA,MARTIRES,3318,-27.4059419,-55.3353285
9320,COLONIA MAYBAU,25 DE MAYO,25 DE MAYO,3363,-27.4799498,-54.6490099
27552,COLONIA MILAGRO,CAINGUAS,2 DE MAYO,3337,-27.1175008,-54.5114703
9611,COLONIA ÑACANGAZU,SAN IGNACIO,,3328,-27.0733893,-55.2857551
27767,COLONIA NUEVA,GUARANI,EL SOBERBIO,3364,-26.8512980,-54.2226185
9540,COLONIA ORO VERDE,LIBERTADOR GRAL SAN MARTIN,,3334,-26.8737542,-55.1085311
29145,COLONIA PICAZA,OBERA,COLONIA ALBERDI,3393,-27.3545037,-55.1262783
9612,COLONIA POLANA,SAN IGNACIO,COLONIA POLANA,3326,-26.9797040,-55.3217467
29517,COLONIA PRIMAVERA,SAN IGNACIO,JARDIN AMERICA,3328,-27.1119880,-55.1366567
29518,COLONIA PRIMAVERA,SAN PEDRO,SAN PEDRO,3352,-26.7082938,-54.0602761
20454,COLONIA PRIMAVERA,GUARANI,EL SOBERBIO,3364,-27.1723137,-54.1360332
20533,COLONIA PUERTO ROSALES,SAN PEDRO,,3364,,
29489,COLONIA RIO VICTORIA,GUARANI,SAN VICENTE,3356,-26.9697548,-54.4353837
9613,COLONIA ROCA,SAN IGNACIO,,3327,,
9556,COLONIA SAN ALBERTO,LIBERTADOR GRAL SAN MARTIN,PUERTO RICO,3334,-26.8004926,-54.9839101
9615,COLONIA SAN IGNACIO,SAN IGNACIO,,3322,,
9450,COLONIA SANTA MARIA,CONCEPCION,SANTA MARIA,3353,-27.9362940,-55.4065063
20496,COLONIA SANTA TERESA,MONTECARLO,,3384,-26.4946950,-54.5874843
20534,COLONIA SIETE ESTRELLAS,SAN PEDRO,SAN PEDRO,3364,-26.6455267,-53.9913980
29422,COLONIA SOL DE MAYO,SAN IGNACIO,JARDIN AMERICA,3328,-27.0992083,-55.1974635
29119,COLONIA TARANCO,APOSTOLES,SAN JOSE,3350,,
29120,COLONIA TARANCO CHICO,LEANDRO N ALEM,CERRO AZUL,3313,-27.6792873,-55.5327781
20492,COLONIA TARANCO ESTE,LEANDRO N ALEM,,3315,-27.6974957,-55.4682167
9465,COLONIA VICTORIA,ELDORADO,COLONIA VICTORIA,3382,-26.3293114,-54.6199684
9584,COLONIA YABEBIRI,OBERA,,3316,-27.4378902,-55.2951354
29521,COLONIA YABOTY,SAN PEDRO,SAN PEDRO,3352,-26.7038796,-53.8701481
9616,COLONIA YACUTINGA,SAN IGNACIO,,3317,-27.2399427,-55.3452248
29476,COLONIAS UNIDAS,GUARANI,SAN VICENTE,3356,-27.2069905,-54.4979825
9476,COMANDANTE ANDRESITO,GENERAL MANUEL BELGRANO,ANDRESITO,3366,-25.6674361,-54.0456435
30224,COMUNIDAD ABORIGEN GUAVIRAMI,MONTECARLO,MONTECARLO,3384,-26.5914518,-54.4251737
9453,COMUNIDAD ABORIGEN OJO DE AGUA,CONCEPCION,SANTA MARIA,3328,-27.8902386,-55.4254192
29647,COMUNIDAD ABORIGEN POZO AZUL,SAN PEDRO,POZO AZUL,3364,,
29596,COMUNIDAD ABORIGEN YACUTINGA,SAN IGNACIO,GOBERNADOR ROCA,3324,-27.2573676,-55.3048770
9451,CONCEPCION DE LA SIERRA,CONCEPCION,CONCEPCION DE LA SIERRA,3355,-27.9785080,-55.5204391
9331,CORONEL PRINGLES,25 DE MAYO,ALBA POSSE,3363,-27.4941063,-54.6799234
9617,CORPUS,SAN IGNACIO,CORPUS,3327,-27.1270237,-55.5077553
29097,CORREDERA,SAN JAVIER,SAN JAVIER,3357,-27.8423724,-55.1007570
9676,CRUCE CABALLERO,SAN PEDRO,,3364,-26.5443847,-53.9413605
20456,CRUCE LONDERO,GUARANI,,3364,-27.1770047,-54.4561533
9372,CRUCE PINDAYTI,CAINGUAS,,3364,-27.1281767,-54.7246705
9541,CUÑA PIRU,LIBERTADOR GRAL SAN MARTIN,,3334,-27.0506814,-55.0368649
20465,CUÑA PORA,GUARANI,,3364,,
29582,DELICIA KILOMETRO 22,ELDORADO,COLONIA DELICIA,3382,-26.1930418,-54.4429358
29455,DOMINGO FAUSTINO SARMIENTO,25 DE MAYO,25 DE MAYO,3379,-27.3714537,-54.7903130
