id,nombre,partido,municipio,cp,latitud,longitud
29707,ABRA ANCHA,ALUMINE,ALUMINE,8345,-39.3095640,-70.9282872
7711,ACHICO,COLLON CURA,,8315,-40.3302387,-70.3391542
29914,AEROP CHOS MALAL,ÑORQUIN,AREA SIN GOBIERNO,8353,-37.4435674,-70.2225466
29816,AEROPUERTO AVIADOR CAMPOS,LACAR,SAN MARTIN DE LOS ANDES,8370,-40.0760435,-71.1369872
29913,AEROPUERTO DE ZAPALA,ZAPALA,ZAPALA,8340,-38.9751796,-70.1103704
7930,AGRIO DEL MEDIO,PICUNCHES,BAJADA DEL AGRIO,8351,-38.3466745,-69.9385244
29881,AGUA CALIENTE,PEHUENCHES,BARRANCAS,8356,-36.9286620,-69.9829784
29720,AGUA DE CANALE,AÑELO,AÑELO,8312,-38.1946801,-69.4715015
29876,AGUA DE LA BATEA,ÑORQUIN,AREA SIN GOBIERNO,8342,-37.4294522,-70.3401316
30119,AGUA DEL CAJON,CONFLUENCIA,PLOTTIER,8316,-38.9373541,-68.3548816
29708,AGUA FRIA,ALUMINE,AREA SIN GOBIERNO,8376,-38.7872871,-70.9166005
7673,AGUADA CHACAY CO,CHOS MALAL,,8353,-37.3687319,-70.0920502
29888,AGUADA CHACAYCO,PEHUENCHES,BUTA RANQUIL,8357,-37.3831512,-70.0805407
30087,AGUADA COLORADA,AÑELO,AREA SIN GOBIERNO,8312,-37.8088958,-69.3842842
29763,AGUADA DE LA QUIRQUINCHA,AÑELO,AREA SIN GOBIERNO,8312,-38.2747612,-69.3703778
29766,AGUADA DE LAS CHILCAS,AÑELO,AREA SIN GOBIERNO,8312,-38.1041030,-69.4674505
29760,AGUADA DE LAS VACAS,AÑELO,AREA SIN GOBIERNO,8312,-38.4079304,-69.4678762
29758,AGUADA DEL CARRIZO,AÑELO,AREA SIN GOBIERNO,8312,-37.9573175,-68.6065427
29897,AGUADA DEL LUCERO,ZAPALA,LOS CATUTOS,8340,-38.8165669,-70.0068669
7656,AGUADA DEL OVERO,CATAN LIL,AREA SIN GOBIERNO,8340,-39.3189798,-70.1404886
29761,AGUADA DEL SOLDADO,AÑELO,AREA SIN GOBIERNO,8312,-38.3647965,-69.4479162
29764,AGUADA DEL SUR,AÑELO,AREA SIN GOBIERNO,8312,-38.3113982,-69.5424104
7649,AGUADA FLORENCIO,CATAN LIL,AREA SIN GOBIERNO,8340,-39.4981792,-70.2782980
29721,AGUADA LASTRA,AÑELO,AREA SIN GOBIERNO,8312,-37.7549423,-68.4759421
29722,AGUADA PICHANA,AÑELO,AREA SIN GOBIERNO,8312,-38.3898713,-69.1590938
27850,AGUADA SAN ROQUE,AÑELO,AGUADA SAN ROQUE,8305,-37.9966757,-68.9229886
29915,AGUADA TOLEDO,CONFLUENCIA,SENILLOSA,8318,-38.7530350,-68.8344681
29846,AILINCO,MINAS,VARVARCO INVERNADA VIEJA,8359,-36.6269516,-70.6096237
29719,ALTOS DE PEHUENIA,ALUMINE,VILLA PEHUENIA,8376,-38.9081293,-71.0557527
30190,ALTOS DE PLOTTIER,CONFLUENCIA,PLOTTIER,8316,-38.9597692,-68.3814766
7614,ALUMINE,ALUMINE,ALUMINE,8345,-39.2353592,-70.9196472
7860,ANDACOLLO,MINAS,ANDACOLLO,8353,-37.1793462,-70.6699696
7642,AÑELO,AÑELO,AÑELO,8305,-38.3531837,-68.7871780
29743,AQUIHUECO,CHOS MALAL,TRICAO MALAL,8358,-37.0698658,-70.3832395
30197,ARROYITO,CONFLUENCIA,SENILLOSA,8380,-39.0718330,-68.5682410
7675,ARROYO BLANCO,CHOS MALAL,CHOS MALAL,8353,-37.2481923,-70.2311548
27725,ATREUCO,HUILICHES,,8371,-39.7314300,-71.0775864
29784,ATREUCO ARRIBA,HUILICHES,AREA SIN GOBIERNO,8371,-39.6998965,-71.0890789
29783,ATREUCO MEDIO,HUILICHES,AREA SIN GOBIERNO,8371,-39.7242154,-71.0986124
7643,AUCA MAHUIDA,AÑELO,AREA SIN GOBIERNO,8305,-37.8847824,-68.5206114
7768,AUCAPAN,HUILICHES,AREA SIN GOBIERNO,8373,-39.6433127,-71.0711843
29786,AUCAPAN ABAJO,HUILICHES,AREA SIN GOBIERNO,8371,-39.6407789,-71.0311295
7674,AUQUINCO,PEHUENCHES,BUTA RANQUIL,8353,-37.3177744,-69.9705374
29801,AUQUINCO,LACAR,AREA SIN GOBIERNO,8370,-40.2015473,-71.0520347
29795,BAHIA CANICUL,HUILICHES,AREA SIN GOBIERNO,8371,-39.7575360,-71.4350361
29945,BAHIA DE PLAYAS,CONFLUENCIA,MARI MENUCO,8321,-38.6653013,-68.5757422
29946,BAHIA VERDE,CONFLUENCIA,MARI MENUCO,8321,-38.6610249,-68.5931950
7714,BAJADA COLORADA,COLLON CURA,,8315,-39.8474714,-69.7218483
7986,BAJADA DE LOS MOLLES,CATAN LIL,AREA SIN GOBIERNO,8340,-39.1828731,-70.2703348
7932,BAJADA DEL AGRIO,PICUNCHES,BAJADA DEL AGRIO,8351,-38.4059752,-70.0353755
29723,BAJADA DEL MONO,AÑELO,AÑELO,8312,-38.2699882,-68.8799274
29893,BAJADA VIEJA,PICUNCHES,BAJADA DEL AGRIO,8344,-38.4753404,-70.0873444
7933,BALNEARIO DEL RIO AGRIO,PICUNCHES,BAJADA DEL AGRIO,8351,,
7934,BALSA DEL RIO AGRIO,PICUNCHES,,8351,,
7738,BALSA SENILLOSA,CONFLUENCIA,,8316,,
7988,BARDA NEGRA,ZAPALA,,8340,-39.0441511,-69.7963658
7912,BARRANCAS,PEHUENCHES,BARRANCAS,8353,-36.8211724,-69.9162903
29711,BATEA MAHUIDA,ALUMINE,VILLA PEHUENIA,8376,-38.8352024,-71.2243861
29731,BELISLE,CATAN LIL,AREA SIN GOBIERNO,8341,-39.3475287,-70.6908582
7861,BELLA VISTA,MINAS,VILLA DEL NAHUEVE,8353,-37.0607628,-70.7779741
29856,BURALEO,MINAS,VILLA DEL NAHUEVE,8354,-37.0286120,-71.0011267
7913,BUTA CO,PEHUENCHES,BARRANCAS,8353,-36.9074937,-69.8156021
29771,BUTA CO,CHOS MALAL,COYUCO COCHICO,8358,-36.5032449,-70.1822727
7890,BUTA MALLIN,ÑORQUIN,AREA SIN GOBIERNO,8353,-37.5754060,-70.7168961
7914,BUTA RANQUIL,PEHUENCHES,BUTA RANQUIL,8353,-37.0517586,-69.8761613
26289,BUTALON,MINAS,HUINGANCO,8353,-36.9898964,-70.6899951
7677,CAEPE MALAL,CHOS MALAL,VILLA CURI LEUVU,8353,-37.1783775,-70.3936039
7989,CAICHIHUE,CATAN LIL,,8340,-39.4655091,-70.2645864
7818,CAJON DE ALMAZA,LONCOPUE,LONCOPUE,8349,-38.1436642,-70.5279383
7819,CAJON DE MANZANO,LONCOPUE,,8349,-38.2993490,-70.5152361
29851,CAJON DEL ATREUCO,MINAS,AREA SIN GOBIERNO,8359,-36.7193164,-70.6197518
7691,CAJON DEL CURI LEUVU,CHOS MALAL,TRICAO MALAL,8353,-36.9664190,-70.3888652
