id,nombre,partido,municipio,cp,latitud,longitud
5203,6 DE OCTUBRE,AVELLANEDA,AREA SIN GOBIERNO,8134,,
5062,AGUADA DE GUERRA,25 DE MAYO,AGUADA DE GUERRA,8424,-41.0672159,-68.3826418
5299,AGUADA DE LOS PAJARITOS,GENERAL ROCA,,8301,,
5063,AGUADA DE PIEDRA,25 DE MAYO,,8422,-39.8515066,-69.3152019
5132,AGUADA DEL LORO,ADOLFO ALSINA,,8520,,
5252,AGUADA GUZMAN,EL CUY,AGUADA GUZMAN,8333,-39.9841270,-68.8735886
5300,AGUARA,GENERAL ROCA,,8307,,
5253,ALANITOS,EL CUY,,8333,,
5301,ALLEN,GENERAL ROCA,ALLEN,8328,-38.9766731,-67.8291092
28416,ANCALAO,ÑORQUINCO,AREA SIN GOBIERNO,8415,-41.9699718,-70.7096142
5065,ANECON CHICO,25 DE MAYO,,8418,-40.9166739,-69.8907903
5066,ANECON GRANDE,25 DE MAYO,CLEMENTE ONELLI,8416,-41.3431493,-70.1918537
5422,ARROYO BLANCO,PILCANIYEU,,8403,,
5423,ARROYO CHACAY,PILCANIYEU,,8401,,
5474,ARROYO DE LA VENTANA,VALCHETA,ARROYO VENTANA,8521,-41.6671791,-66.0930306
5370,ARROYO LAS MINAS,ÑORQUINCO,,8415,-41.8272060,-71.1136604
5475,ARROYO LOS BERROS,VALCHETA,ARROYO LOS BERROS,8521,-41.4337340,-66.1003435
5459,ARROYO SALADO,SAN ANTONIO,,8532,,
5476,ARROYO TEMBRAO,VALCHETA,,8521,-41.2150693,-66.3368021
5460,ARROYO VERDE,SAN ANTONIO,,8521,-41.9248136,-66.1946675
5068,ATRAICO,25 DE MAYO,,8418,-41.5123090,-69.5175768
27864,BAHIA CREEK,ADOLFO ALSINA,,8501,-41.0841462,-63.9310254
5461,BAJO DEL GUALICHO,SAN ANTONIO,,8520,-40.4515706,-65.1867335
5160,BAJO RICO,AVELLANEDA,,8360,,
28402,BAJO SAN CAYETANO,GENERAL ROCA,CINCO SALTOS,8303,-38.7236608,-68.0424681
5133,BALNEARIO EL CONDOR,ADOLFO ALSINA,VIEDMA,8501,-41.0457840,-62.8328743
5255,BARDA COLORADA,EL CUY,,8333,-39.8761414,-68.7460656
5303,BARDA DEL MEDIO,GENERAL ROCA,CONTRALMIRANTE CORDERO,8305,-38.7207260,-68.1529160
5069,BARRIL NIYEO,25 DE MAYO,,8422,-41.8261084,-68.1647639
