id,nombre,partido,municipio,cp,latitud,longitud
21277,20 DE FEBRERO,LA VIÑA,LA VIÑA,4425,,
31521,25 DE JUNIO,ANTA,JOAQUIN V GONZALEZ,4448,,
30817,3 DE MAYO,ANTA,JOAQUIN V GONZALEZ,4448,,
11793,ABLOME,LA VIÑA,,4421,,
27811,ABRA DE ARAGUYOC,IRUYA,IRUYA,4633,-22.7747986,-65.1433864
31506,ABRA DE MECOYITA,SANTA VICTORIA,SANTA VICTORIA OESTE,4652,,
31218,ABRA DE QUIRON,LOS ANDES,SAN ANTONIO DE LOS COBRES,4411,,
31505,ABRA DE SAN ANTONIO,SANTA VICTORIA,SANTA VICTORIA OESTE,4652,,
31510,ABRA DE SANTA CRUZ,SANTA VICTORIA,SANTA VICTORIA OESTE,4652,,
16691,ABRA DEL GALLO,LOS ANDES,SAN ANTONIO DE LOS COBRES,4411,,
31038,ABRA DEL SAUCE,IRUYA,IRUYA,4633,,
21573,ABRA GRANDE,ORAN,SAN RAMON DE LA NUEVA ORAN,4530,-22.9746000,-64.4138400
31039,ABRA LAITE,IRUYA,IRUYA,4633,,
11669,ACAMBUCO,GENERAL JOSE DE SAN MARTIN,AGUARAY,4568,-22.1645998,-63.9088426
16692,ACAZOQUE,LOS ANDES,SAN ANTONIO DE LOS COBRES,4411,-24.2715817,-66.3513718
11732,ACOSTA,GUACHIPAS,GUACHIPAS,4425,-25.7724100,-65.3423400
12052,ACOYTE,SANTA VICTORIA,SANTA VICTORIA OESTE,4651,-22.2625708,-64.9993426
30912,AGUA BLANCA,GENERAL GUEMES,GENERAL GUEMES,4430,,
31233,AGUA BLANCA,METAN,EL GALPON,4444,,
31235,AGUA CALIENTE,METAN,EL GALPON,4444,,
30793,AGUA CALIENTE,ANTA,GENERAL PIZARRO,4449,,
31204,AGUA DE CASTILLA,LOS ANDES,SAN ANTONIO DE LOS COBRES,4411,,
30858,AGUA DE LOS LOROS,CACHI,PAYOGASTA,4418,,
30924,AGUA LINDA,GENERAL JOSE DE SAN MARTIN,EMBARCACION,4551,,
11575,AGUA NEGRA,CHICOANA,CHICOANA,4415,-25.1533919,-65.6936323
11436,AGUA SUCIA,ANTA,APOLINARIO SARAVIA,4449,-24.4657480,-63.8678484
