id,nombre,partido,municipio,cp,latitud,longitud
15719,9 DE JULIO,9 DE JULIO,9 DE JULIO,5417,-31.6697509,-68.3900416
18949,ACHANGO,IGLESIA,IGLESIA,5467,,
15833,ADAN QUIROGA,JACHAL,,5409,,
18726,AEROPUERTO SAN JUAN,9 DE JULIO,9 DE JULIO,5417,,
19400,AGUA CERCADA,VALLE FERTIL,,5447,-30.8041577,-67.3662350
19040,AGUA DE LA ZORRA,JACHAL,,5460,-30.5742626,-68.6229935
32312,AGUA DEL GODO,IGLESIA,IGLESIA,5467,-29.2434120,-69.3541270
15835,AGUADA DE LA PEÑA,JACHAL,,5461,,
15907,ALBARRACIN,RAWSON,,5425,,
32225,ALCAPARROSA,CALINGASTA,CALINGASTA,5403,-31.3034720,-69.4133790
32323,ALTO DE MOGNA,JACHAL,JACHAL,5412,-30.8778070,-68.3855880
15953,ALTO DE SIERRA,SANTA LUCIA,SANTA LUCIA,5438,-31.5403423,-68.4424667
15840,ALTO HUACO,JACHAL,,5463,,
15768,AMPACAMA,CAUCETE,,5444,-31.2476921,-67.7616730
16036,ANGUALASTO,IGLESIA,IGLESIA,5467,-30.0549774,-69.1878815
19238,APEADERO QUIROGA,POCITO,,5427,,
18856,ARREQUINTIN,IGLESIA,,5467,,
19047,ASCHICHUSCA,JACHAL,,5460,,
16339,ASTICA,VALLE FERTIL,VALLE FERTIL,5447,-30.9446354,-67.3033142
19362,AURORA,ULLUM,,5409,,
20051,BAJO DE LAS TUMANAS,VALLE FERTIL,VALLE FERTIL,5447,,
15769,BALDE DE LEYES,CAUCETE,,5446,-31.5832710,-67.1778412
15994,BALDE DEL NORTE,VALLE FERTIL,,5449,,
15995,BALDE DEL ROSARIO,VALLE FERTIL,,5449,-30.3207152,-67.6951969
32280,BALDES DE FUNES,VALLE FERTIL,VALLE FERTIL,5447,-31.0748630,-67.1176990
15998,BALDES DE LA CHILCA,VALLE FERTIL,,5449,-30.6418293,-67.4086650
15999,BALDES DEL SUD,VALLE FERTIL,,5449,,
32313,BAÑITOS DE CHOLLAY,IGLESIA,IGLESIA,5467,-29.1975260,-69.6941330
15726,BAÑOS DE LA LAJA,ALBARDON,,5419,,
18858,BAÑOS DE LOS DESPOBLADOS,IGLESIA,,5467,,
19314,BAÑOS DEL CERRO,SARMIENTO,,5431,,
18731,BAÑOS DEL SALADO,ALBARDON,,5419,,
19049,BARRANCA DE LOS LOROS,JACHAL,,5460,,
19051,BARRANCAS BLANCAS,JACHAL,,5460,,
15748,BARREAL,CALINGASTA,CALINGASTA,5405,-31.6464867,-69.4743640
18746,BARRIALITO,CALINGASTA,CALINGASTA,5403,,
32218,BARRIO SAN MARTIN,CAUCETE,CAUCETE,5442,-31.6285300,-68.2417440
32227,BAUCHACETA,IGLESIA,IGLESIA,5467,-30.5108940,-69.4599920
15749,BELLA VISTA,CALINGASTA,,5403,-31.1471653,-69.4647675
15841,BELLA VISTA,JACHAL,JACHAL,5460,-30.2094954,-68.7467328
15809,BELLA VISTA,IGLESIA,,5467,-30.4401532,-69.2447867
32210,BERMEJO,CAUCETE,CAUCETE,5444,-31.5892130,-67.6603580
16341,BOCA DE LA QUEBRADA,JACHAL,JACHAL,5461,-30.1439133,-68.6666870
15946,BOCA DEL TIGRE,SAN MARTIN,SAN MARTIN,5439,-31.4837933,-68.3012543
19315,BODEGA SAN ANTONIO,SARMIENTO,,5431,,
15810,BUENA ESPERANZA,IGLESIA,,5467,,
15751,CALINGASTA,CALINGASTA,CALINGASTA,5403,-31.3318748,-69.4009628
32325,CAMARICO,25 DE MAYO,25 DE MAYO,5445,-32.0453520,-68.0050040
32314,CAMPAMENTO SOBERANO,IGLESIA,IGLESIA,5467,-29.1920530,-69.8727990
15811,CAMPANARIO,IGLESIA,IGLESIA,5467,,
15727,CAMPO AFUERA,ALBARDON,ALBARDON,5419,-31.4165330,-68.5316143
16273,CAMPO DE BATALLA,POCITO,POCITO,5435,-31.7299979,-68.5659152
32291,CAMPO DE BATALLA,ANGACO,ANGACO,5447,-31.4234820,-68.4468960
18911,CAMPO DE CHITA,IGLESIA,IGLESIA,5467,,
15808,CAMPO PISMANTA,IGLESIA,IGLESIA,5465,,
16272,CAÑADA HONDA,SARMIENTO,SARMIENTO,5431,-31.9728985,-68.5496979
19317,CARBOMETAL,SARMIENTO,,5431,,
15888,CARPINTERIA,POCITO,POCITO,5435,-31.8179379,-68.5433426
18862,CARRIZALITO,IGLESIA,IGLESIA,5467,,
32203,CASAS VIEJAS,CAUCETE,CAUCETE,5444,-31.3769770,-67.8028910
15752,CASTAÑO NUEVO,CALINGASTA,,5403,,
15771,CAUCETE,CAUCETE,CAUCETE,5442,-31.6511387,-68.2804114
15889,CENTRO AVIACION CIVIL SAN JUAN,POCITO,,5427,,
18751,CERRO BLANCO,CALINGASTA,,5405,,
32322,CERRO CORONEL,IGLESIA,IGLESIA,5684,-30.5903650,-69.0626870
19322,CERRO DEL MEDIO,SARMIENTO,,5431,,
19652,CERRO PACHACO,ZONDA,,5401,,
19439,CERRO TRES PUNTAS,VALLE FERTIL,,5447,,
19062,CHEPICAL,JACHAL,,5460,,
15802,CHIMBAS,CHIMBAS,CHIMBAS,5413,-31.4955335,-68.5323629
16125,CHUCUMA,VALLE FERTIL,,5447,-31.0688862,-67.2788289
32315,CIENAGAS,JACHAL,JACHAL,5477,-29.9314650,-68.7610830
15967,COCHAGUAL,SARMIENTO,,5435,-31.9262047,-68.3602448
15815,COLANGUIL,IGLESIA,,5467,-30.0286407,-69.2872009
15954,COLL,SAN MARTIN,SAN MARTIN,5438,,
15753,COLON,CALINGASTA,CALINGASTA,5401,-31.4278107,-69.4077964
32215,COLONIA AIBILY,25 DE MAYO,25 DE MAYO,5445,-31.8611150,-68.3243280
19240,COLONIA CANTONI,POCITO,,5427,-31.8388958,-68.5301819
19241,COLONIA CASTRO PADIN,POCITO,,5427,,
15910,COLONIA CENTENARIO,RAWSON,,5421,,
15911,COLONIA EL MOLINO,RAWSON,,5425,,
32342,COLONIA FERNANDEZ,SAN MARTIN,SAN MARTIN,5439,-31.4677210,-68.4447640
32267,COLONIA FIORITO,9 DE JULIO,9 DE JULIO,5417,-31.5547710,-68.4303430
