id,nombre,partido,municipio,cp,latitud,longitud
8115,28 DE NOVIEMBRE,GUER AIKE,28 DE NOVIEMBRE,9407,-51.5831947,-72.2113342
25778,AGUADA A PIQUE,DESEADO,,9051,,
25793,AGUADA ALEGRE,DESEADO,,9310,,
8044,AGUADA ESCONDIDA,DESEADO,,9019,,
8043,AGUADA GRANDE,DESEADO,,9053,-47.3034914,-67.3868210
25779,AGUADA LA OVEJA,DESEADO,,9051,-47.2597725,-66.0382508
8045,ALMA GRANDE,DESEADO,,9015,,
8116,AN AIKE,GUER AIKE,,9400,,
8047,BAHIA LANGARA,DESEADO,,9011,-46.6429404,-67.4992161
25794,BAHIA LAURA,DESEADO,,9310,-48.3320533,-66.4267568
8146,BAHIA TRANQUILA,LAGO ARGENTINO,,9405,,
16990,BAJO CARACOLES,RIO CHICO,BAJO CARACOLES,9315,-47.4440523,-70.9253151
25801,BAJO FUEGO,MAGALLANES,,9310,-49.2169400,-68.8054503
8117,BELLA VISTA,GUER AIKE,,9400,-51.8647414,-70.6055427
8048,CABO BLANCO,DESEADO,,9051,,
16982,CABO DE LAS VIRGENES,GUER AIKE,,9400,-52.3379526,-68.3854718
8049,CABO TRES PUNTAS,DESEADO,,9051,-47.1001991,-65.8769792
8050,CALETA OLIVIA,DESEADO,CALETA OLIVIA,9011,-46.4482079,-67.5220871
8051,CAMERON,DESEADO,,9017,-46.3701224,-68.8634939
25796,CAMPAMENTO DOROTEA,GUER AIKE,,9407,,
16983,CAMUZU AIKE,GUER AIKE,,9400,-50.8302649,-70.6509792
8018,CAÑADA DE LAS VACAS,CORPEN AIKE,,9305,,
25802,CAÑADON 11 DE SETIEMBRE,MAGALLANES,,9310,,
8171,CAÑADON BOTELLO,LAGO BUENOS AIRES,,9040,,
8019,CAÑADON DE LAS VACAS,CORPEN AIKE,,9300,-50.5334535,-69.2302279
8020,CAÑADON DEL RANCHO,CORPEN AIKE,,9300,-50.2501924,-69.2770371
8021,CAÑADON DEL TORO,CORPEN AIKE,,9303,-47.1028876,-66.9908339
8119,CAÑADON FABRE,GUER AIKE,,9400,,
25807,CAÑADON LEON,RIO CHICO,,9311,-46.6792000,-67.8352000
8187,CAÑADON MOLINARI,RIO CHICO,,9311,-48.9239922,-70.7439497
8172,CAÑADON PLUMA,LAGO BUENOS AIRES,,9017,,
8054,CAÑADON SECO,DESEADO,CAÑADON SECO,9013,-46.5589336,-67.6159509
16984,CANCHA CARRERA,GUER AIKE,,9400,-51.2566628,-72.2243605
8120,CAP,GUER AIKE,,9400,,
8055,CARA MALA,DESEADO,,9313,,
8056,CERRO ALTO,DESEADO,,9053,,
8057,CERRO LA SETENTA,DESEADO,,9017,-46.4824613,-69.0975587
8064,CERRO MANGRULLO,DESEADO,,9011,-46.2169219,-67.8336290
8065,CERRO MORO,DESEADO,,9019,-48.1262182,-66.6479695
8097,CERRO NEGRO,DESEADO,,9053,-46.8533500,-70.1499543
8121,CERRO PALIQUE,GUER AIKE,,9400,-50.9982078,-72.0972485
8066,CERRO PUNTUDO,DESEADO,,9051,,
25780,CERRO REDONDO,DESEADO,,9051,,
8022,CERRO REDONDO,CORPEN AIKE,,9303,-51.7180816,-69.1569396
8058,CERRO RENZEL,DESEADO,,9017,,
8052,CERRO SILVA,DESEADO,,9017,-46.9215014,-68.9232636
8122,CHALL AIKE,GUER AIKE,,9400,,
27876,CHARLES FUHR,LAGO ARGENTINO,,9405,-50.2722494,-71.8851431
8023,CHONQUE,CORPEN AIKE,AREA SIN GOBIERNO,9303,-49.3638381,-69.7162667
8059,COLONIA CARLOS PELLEGRINI,DESEADO,,9017,,
8173,COLONIA LEANDRO N ALEM,LAGO BUENOS AIRES,,9040,,
8024,COMANDANTE LUIS PIEDRABUENA,CORPEN AIKE,COMANDANTE LUIS PIEDRA BUENA,9303,-49.9892957,-68.9169025
16985,CONDOR,GUER AIKE,,9400,-52.1631118,-69.0670906
8147,CONDOR CLIF,LAGO ARGENTINO,,9405,-50.2027221,-70.9271219
8123,CORONEL GUARUMBA,GUER AIKE,,9400,-50.8620365,-71.8167308
16997,CORONEL MARTIN IRIGOYEN,GUER AIKE,,9407,,
25788,CUEVA DE LAS MANOS,DESEADO,,9017,,
25792,DESAMPARADOS,DESEADO,,9053,,
8025,EL BAILE,CORPEN AIKE,,9303,,
8060,EL BARBUCHO,DESEADO,,9053,-47.2808088,-67.0723929
8148,EL CALAFATE,LAGO ARGENTINO,EL CALAFATE,9405,-50.3406139,-72.2684267
8149,EL CERRITO,LAGO ARGENTINO,,9405,-50.6194910,-71.3696694
8150,EL CHALTEN,LAGO ARGENTINO,EL CHALTEN,9301,-49.3341293,-72.8848877
25781,EL CHARA,DESEADO,,9051,-47.3029112,-65.8612007
27894,EL GUADAL,DESEADO,LAS HERAS,9017,-46.4426988,-69.3974313
25776,EL GUADAL,CORPEN AIKE,AREA SIN GOBIERNO,9300,-46.4630537,-69.3514415
8062,EL HUECO,DESEADO,,9051,,
25790,EL LORO,DESEADO,,9051,,
8027,EL PAN DE AZUCAR,CORPEN AIKE,,9303,,
8028,EL PASO,CORPEN AIKE,,9303,,
8174,EL PLUMA,LAGO BUENOS AIRES,,9017,-46.3084807,-70.3952434
8067,EL POLVORIN,DESEADO,,9051,-47.1016484,-66.4724851
8175,EL PORTEZUELO,LAGO BUENOS AIRES,,9040,-46.0314501,-71.6632232
8184,EL SALADO,MAGALLANES,,9313,-48.7288255,-67.6998856
16988,EL TURBIO,GUER AIKE,EL TURBIO,9407,-51.6813109,-72.0889095
8124,EL ZURDO,GUER AIKE,,9401,,
8125,ESTACION ING ATILIO CAPPA,GUER AIKE,,9400,,
8076,FARO CABO GUARDIAN,DESEADO,AREA SIN GOBIERNO,9313,-48.3566500,-66.3546830
8077,FARO CAMPANA,DESEADO,,9313,,
8078,FITZ ROY,DESEADO,FITZ ROY,9019,-47.0248242,-67.2511284
8079,FLORADORA,DESEADO,,9053,-47.1122115,-66.7911731
8151,FORTALEZA,LAGO ARGENTINO,,9401,-50.1938296,-71.3666335
8126,FUENTES DEL COYLE,GUER AIKE,,9401,-51.0555086,-71.6045763
8029,GARMINUE,CORPEN AIKE,,9303,,
8127,GAYPON,GUER AIKE,,9407,-51.9994796,-71.4692960
16989,GLENCROSS,GUER AIKE,,9407,-51.8284457,-71.6933731
8189,GOBERNADOR GREGORES,RIO CHICO,GOBERNADOR GREGORES,9311,-48.7517395,-70.2436371
8128,GOBERNADOR MAYER,GUER AIKE,,9401,-51.3488095,-70.2921208
8080,GOBERNADOR MOYANO,DESEADO,,9050,-47.7742195,-68.5810885
8152,GUARDAPARQUE FITZ ROY,LAGO ARGENTINO,,9301,,
8191,H YRIGOYEN,RIO CHICO,,9315,-49.8031771,-68.6971850
16991,HOTEL LAS HORQUETAS,RIO CHICO,,9315,-48.2559442,-71.1608175
8081,INDIA MUERTA,DESEADO,,9017,,
25795,INGENIERO ATILIO CAPPA,GUER AIKE,,9400,,
8176,INGENIERO PALLAVICINI,LAGO BUENOS AIRES,,9040,-46.2761415,-71.7105950
8082,JARAMILLO,DESEADO,JARAMILLO,9053,-47.1854553,-67.1451263
8083,JELAINA,DESEADO,,9015,,
8129,JULIA DUFOUR,GUER AIKE,JULIA DUFOUR,9407,-51.5435820,-72.2397563
25789,KILOMETRO 8,DESEADO,,9050,,
8084,KOLUEL KAIKE,DESEADO,NTRA SRA DOLORES KOLUEL KAIKE,9019,-46.7168267,-68.2279615
25782,LA AGUADA,DESEADO,,9051,-47.2213579,-65.7842972
8085,LA ANTONIA,DESEADO,,9015,,
8086,LA ARGENTINA,DESEADO,,9017,-46.3309854,-69.3331092
8177,LA ASTURIANA,LAGO BUENOS AIRES,,9040,,
8030,LA BARRETA,CORPEN AIKE,,9303,-49.3173928,-69.4925548
8087,LA CENTRAL,DESEADO,,9051,-47.1272975,-66.6119585
8130,LA ESPERANZA,GUER AIKE,,9401,-51.0286710,-70.7798015
25783,LA ESTELA,DESEADO,,9051,,
8053,LA ESTHER,DESEADO,,9011,,
25791,LA FECUNDIDAD,DESEADO,,9051,,
8153,LA FEDERICA,LAGO ARGENTINO,,9301,,
8154,LA FLORIDA,LAGO ARGENTINO,,9301,,
8088,LA GUARDIA,DESEADO,,9015,,
8031,LA JULIA,CORPEN AIKE,,9303,-49.5776350,-69.5712882
8155,LA LEONA,LAGO ARGENTINO,,9303,-49.8110841,-72.0519593
8089,LA MADRUGADA,DESEADO,,9051,-47.0906614,-66.4878545
16994,LA MANCHURIA,LAGO BUENOS AIRES,,9311,-48.2150536,-69.8199005
8090,LA MARGARITA,DESEADO,,9051,-48.2776975,-68.0009049
8178,LA MARIA,LAGO BUENOS AIRES,,9017,,
25806,LA PENINSULA,RIO CHICO,,9311,-47.4650271,-71.8624641
8032,LA PIGMEA,CORPEN AIKE,,9303,-49.6948006,-68.7616853
8033,LA PORTEÑA,CORPEN AIKE,,9303,-49.6093857,-68.8861946
8091,LA PROTEGIDA,DESEADO,,9051,,
8092,LA ROSA,DESEADO,,9015,,
8093,LA ROSADA,DESEADO,,9051,-47.2744632,-66.2509505
25784,LA VICTORIA,DESEADO,,9051,,
8094,LA VIOLETA,DESEADO,,9051,,
8157,LAGO ARGENTINO,LAGO ARGENTINO,,9405,,
25787,LAGO BUENOS AIRES,DESEADO,,9017,,
8179,LAGO BUENOS AIRES,LAGO BUENOS AIRES,,9040,-46.5412323,-71.6282714
8190,LAGO CARDIEL,RIO CHICO,,9301,-48.9549135,-71.3646139
27972,LAGO POSADAS,RIO CHICO,LAGO POSADAS,9315,-47.5667812,-71.7434756
25804,LAGO PUEYRREDON,RIO CHICO,,9310,-47.4350477,-71.9273861
8158,LAGO ROCA,LAGO ARGENTINO,,9405,,
8159,LAGO SAN MARTIN,LAGO ARGENTINO,,9301,,
8192,LAGO STROBEL,RIO CHICO,,9311,-48.4292871,-71.3110522
8160,LAGO TAR,LAGO ARGENTINO,,9301,,
8131,LAGUNA COLORADA,GUER AIKE,,9400,-51.6671681,-69.9196435
8034,LAGUNA GRANDE,CORPEN AIKE,,9303,-49.5067140,-70.1596277
8095,LAS HERAS,DESEADO,LAS HERAS,9017,-46.5419083,-68.9372406
8132,LAS HORQUETAS,GUER AIKE,,9400,-51.3964975,-70.2231435
8096,LAS MASITAS,DESEADO,,9017,,
8035,LAS MERCEDES,CORPEN AIKE,,9303,,
8107,LAS PIRAMIDES,DESEADO,,9017,,
25786,LEANDRO NICEFORO ALEM,DESEADO,,9017,,
8180,LOS ANTIGUOS,LAGO BUENOS AIRES,LOS ANTIGUOS,9041,-46.5441246,-71.6453476
8185,LOS MANANTIALES,MAGALLANES,,9313,,
27895,LOS PERALES,DESEADO,LAS HERAS,9017,,
8098,MATA MAGALLANES,DESEADO,,9017,,
8099,MAZAREDO,DESEADO,,9051,,
8061,MESETA GUENGUE,DESEADO,,9017,,
8133,MINA 3,GUER AIKE,MINA 3,9407,-51.5400565,-72.2651517
8100,MINERALES,DESEADO,,9015,-46.8413696,-67.7331848
16986,MONTE AYMOND,GUER AIKE,,9400,-52.1028457,-69.5352957
8181,MONTE CEBALLOS,LAGO BUENOS AIRES,,9040,,
8101,MONTE VERDE,DESEADO,,9019,,
8134,MORRO CHICO,GUER AIKE,,9407,-51.9848617,-71.5693657
8182,NACIMIENTOS DEL PLUMA,LAGO BUENOS AIRES,,9040,,
