id,nombre,partido,municipio,cp,latitud,longitud
26842,25 DE MAYO,MORENO,,4353,-27.4138584,-63.0654678
28891,25 DE MAYO,OJO DE AGUA,25 DE MAYO,5250,,
26878,25 DE MAYO DE BARNEGAS,CHOYA,,4205,,
14305,25 DE MAYO SUD,CHOYA,,4231,,
34155,6 DE SEPTIEMBRE,JUAN F IBARRA,MUNICIPIO NO IDENTIFICADO,3752,,
26127,9 DE JULIO,OJO DE AGUA,,5255,-29.6555800,-63.4736100
14227,ABRA GRANDE,BANDA,ABRA GRANDE,4336,-27.2931340,-64.3790660
26739,ABRAS DEL MEDIO,CHOYA,,4233,,
34125,ABRITA CHICA,RIO HONDO,MUNICIPIO NO IDENTIFICADO,4220,,
34126,ABRITA DEL MEDIO,RIO HONDO,MUNICIPIO NO IDENTIFICADO,4220,,
28948,ABRITA GRANDE,RIO HONDO,ABRITA GRANDE,4220,,
27522,ACOS,RIO HONDO,ACOS POZO DEL ARBOLITO,4176,-27.6831400,-64.9792400
26844,AEROLITO,MORENO,AEROLITO,3741,-27.2364425,-62.3796577
34300,AGRIMBAO,FIGUEROA,MUNICIPIO NO IDENTIFICADO,4353,,
27060,AGUA AMARGA,PELLEGRINI,,4197,-25.8930136,-64.3177220
27062,AGUA AZUL,PELLEGRINI,,4189,-26.5171900,-64.1532900
22150,AGUA BLANCA,OJO DE AGUA,,5250,-29.5911560,-63.6652832
33898,AGUA DULCE,AGUIRRE,MUNICIPIO NO IDENTIFICADO,2354,,
28643,AGUAS COLORADAS,ALBERDI,AGUAS COLORADAS,4197,,
14594,AGUAS COLORADAS,ROBLES,,4301,,
26357,AGUSTINA LIBARONA,ALBERDI,,3741,-26.7894669,-62.7051659
33912,AHI VEREMOS,MITRE,MUNICIPIO NO IDENTIFICADO,2357,,
28181,AHI VEREMOS,ALBERDI,AHI VEREMOS,3731,-26.5703036,-62.1289762
27066,AHI VEREMOS,PELLEGRINI,AHI VEREMOS,4197,-25.8549200,-63.9124700
34115,AHI VEREMOS,RIO HONDO,MUNICIPIO NO IDENTIFICADO,4220,,
21159,AHI VEREMOS,BANDA,,4300,-27.3877678,-64.1323166
27695,AHI VEREMOS,COPO,AHI VEREMOS,4452,-25.7294878,-63.4660140
14531,AIPA PUCA,RIO HONDO,ALPA PUCA,4225,,
27074,ALGARROBAL VIEJO,PELLEGRINI,ALGARROBAL VIEJO,4197,-25.7218000,-63.9979700
14530,ALGARROBALES,RIO HONDO,,4304,-27.3741074,-64.6350937
26979,ALGARROBO,OJO DE AGUA,,5251,-29.3966026,-64.0881805
14487,ALHUAMPA,MORENO,,3741,-27.1324239,-62.5491681
33862,ALLUZ,GENERAL TABOADA,MUNICIPIO NO IDENTIFICADO,3760,,
26753,ALTO BELLO,CHOYA,,4203,-28.2390442,-64.8298416
14228,ALTO POZO,BANDA,,4302,-27.3826326,-64.4727772
34252,ALTO VERDE,MORENO,MUNICIPIO NO IDENTIFICADO,4351,,
14488,AMAMA,MORENO,AMAMA,4353,-27.2087900,-63.0397600
14532,AMAPOLA,RIO HONDO,,4223,-27.3672009,-64.8466187
26984,AMBARGASTA,OJO DE AGUA,,5251,-29.2671966,-63.9657056
27524,AMICHA,RIO HONDO,AMICHA,4225,-27.6397260,-64.8640540
26987,AMIMAN,OJO DE AGUA,,5251,-29.4547588,-63.8849051
26992,AMOLADERAS,OJO DE AGUA,,5255,-29.6141200,-63.5713000
21913,AMPA,SARMIENTO,,4350,,
14377,AÑATUYA,GENERAL TABOADA,AÑATUYA,3760,-28.4564629,-62.8256416
28634,ANCA OVERA,ALBERDI,ANCA OVERA,4197,-26.3559800,-63.6267830
14306,ANCAJAN,CHOYA,,4233,-28.4435976,-64.8622052
33948,ANCAS MAYO,OJO DE AGUA,MUNICIPIO NO IDENTIFICADO,5250,,
26429,ANCOCHA,ATAMISQUI,,4201,-28.8207200,-63.7469800
27169,ANGA,SALAVINA,,4321,-29.0343104,-63.3387466
28763,ANGOLA,FIGUEROA,ANGOLA,4301,,
14533,ANJULI,RIO HONDO,,4220,,
14229,ANTAJE,BANDA,ANTAJE,4302,-27.6273170,-64.2527820
14300,ANTILO,JUAN FRANCISCO BORGES,,4225,-27.7521000,-64.6081800
34065,ANTILO NORTE,JUAN FRANCISCO BORGES,MUNICIPIO NO IDENTIFICADO,4200,,
28949,ARAGONES,RIO HONDO,ARAGONES,4220,,
26853,ARBOL BLANCO,MORENO,,3731,-26.8327942,-61.9652328
34187,ARBOL BLANCO,JUAN F IBARRA,MUNICIPIO NO IDENTIFICADO,4350,,
34210,ARBOL SOLO,MORENO,MUNICIPIO NO IDENTIFICADO,3740,,
34079,ARBOL SOLO,JUAN FRANCISCO BORGES,MUNICIPIO NO IDENTIFICADO,4200,,
22271,ARBOL SOLO,QUEBRACHOS,AREA SIN GOBIERNO,5253,-29.4883347,-63.5090637
34102,ARBOLES,GUASAYAN,MUNICIPIO NO IDENTIFICADO,4238,,
33956,ARBOLES NEGROS,OJO DE AGUA,MUNICIPIO NO IDENTIFICADO,5250,,
14230,ARDILES,BANDA,ARDILES,4302,-27.4150070,-64.5005840
14231,ARDILES DE LA COSTA,BANDA,,4302,-27.4819300,-64.5300500
26329,ARGENTINA,AGUIRRE,ARGENTINA,2354,-29.5347580,-62.2668040
27077,ARMONIA,MORENO,,4353,-27.2974625,-63.1803322
14626,ARRAGA,SILIPICA,ARRAGA,4206,-28.0496407,-64.2236786
22035,ASHPA SINCHI,SAN MARTIN,ASHPA SINCHI,4313,,
33971,ASHPAPUCA,SILIPICA,MUNICIPIO NO IDENTIFICADO,4206,,
27470,ATOJ POZO,SAN MARTIN,ATOJ POZO,4313,-28.2954000,-63.8665500
14378,AVERIAS,GENERAL TABOADA,AVERIAS,3766,-28.7471560,-62.4500330
28761,AVERIAS,FIGUEROA,AVERIAS,4301,,
14216,AYUNCHA,LORETO,,4208,,
21912,AZOGASTA,SARMIENTO,,4350,,
14499,BABILONIA,PELLEGRINI,,4301,-26.0733800,-63.7861900
26999,BAEZ,OJO DE AGUA,SOL DE JULIO,5255,-29.5281500,-63.5477600
26985,BAHIA BLANCA,COPO,,3749,-25.7247314,-63.1921272
14534,BAHOMA,RIO HONDO,,4220,-27.5962200,-64.8578200
28811,BAJO ALEGRE,JIMENEZ,BAJO ALEGRE,4185,,
33924,BAJO ALEGRE,AVELLANEDA,MUNICIPIO NO IDENTIFICADO,4334,,
21142,BAJO GRANDE,BANDA,,4338,-27.6032632,-64.0124942
22094,BAJO HONDO,JIMENEZ,,4184,-26.5969600,-64.4812000
26758,BAJO HONDO,CHOYA,,4230,,
28680,BAJO HONDO,BANDA,BAJO HONDO,4300,,
27110,BAJO HONDO,JUAN F IBARRA,,4356,-27.9500300,-61.8472400
34240,BAJO LINDA,MORENO,MUNICIPIO NO IDENTIFICADO,3743,,
14535,BAJO VERDE,RIO HONDO,MUNICIPIO NO IDENTIFICADO,4223,,
22155,BALBUENA,OJO DE AGUA,,5250,-29.5231300,-63.7318400
14297,BANDERA,BELGRANO,BANDERA,3064,-28.8847198,-62.2619591
14350,BANDERA BAJADA,FIGUEROA,BANDERA BAJADA,4301,-27.2724260,-63.5140110
34204,BARCENILLA,MORENO,MUNICIPIO NO IDENTIFICADO,3740,,
14620,BARRANCAS,SALAVINA,,4319,-28.6756920,-63.5553498
27473,BARRANCAS COLORADAS,SAN MARTIN,BARRANCAS COLORADAS,4313,-28.3601371,-63.8114396
27477,BARRIAL ALTO,AVELLANEDA,,4313,-28.4121026,-63.7568765
14536,BARRIALITO,RIO HONDO,,4225,-27.6263800,-64.7873500
27004,BARRIALITO,OJO DE AGUA,,5251,,
28950,BARRIO ISIDRO ALBORNOZ,RIO HONDO,BARRIO ISIDRO ALBORNOZ,4220,,
26902,BARRIO OBRERO,MORENO,,3740,,
21143,BAYO MUERTO,BANDA,,4338,-27.5986252,-64.1357193
34129,BEJAN,RIO HONDO,MUNICIPIO NO IDENTIFICADO,4220,,
26990,BELGICA,COPO,,3712,-25.7777877,-62.5377732
27085,BELGRANO,PELLEGRINI,,4197,,
14341,BELGRANO,COPO,,4301,-26.0821953,-63.3850746
27336,BELGRANO,QUEBRACHOS,AREA SIN GOBIERNO,5253,-29.3264600,-63.6117300
26857,BELLA VISTA,FIGUEROA,,4353,,
26856,BELTRAN,LORETO,BELTRAN,4205,,
14597,BELTRAN,ROBLES,BELTRAN,4308,-27.8315811,-64.0598602
26547,BLANCA POZO,AVELLANEDA,,4332,-28.7081418,-63.1050531
26322,BOCA DEL TIGRE,RIO HONDO,,4306,,
34034,BOCA TOMA,BANDA,MUNICIPIO NO IDENTIFICADO,4300,,
26435,BOQUERON,ATAMISQUI,,4313,-28.5716362,-63.7737122
27170,BORDO PAMPA,SALAVINA,,4321,-29.1105025,-63.1466753
28660,BREA LOMA,ATAMISQUI,BREA LOMA,4317,,
34137,BREA POZO,RIO HONDO,MUNICIPIO NO IDENTIFICADO,4220,,
14623,BREA POZO,SAN MARTIN,BREA POZO,4313,-28.2436409,-63.9500237
27479,BREA POZO VIEJO,SAN MARTIN,,4313,-28.2145300,-63.9862100
28951,BREA PUÑUNA,RIO HONDO,BREA PUÑUNA,4220,,
26560,BREAYOJ,AVELLANEDA,,4328,,
25843,BUEN PASO,GENERAL TABOADA,BUEN PASO,3766,,
34002,BUENA VENTURA,CHOYA,MUNICIPIO NO IDENTIFICADO,4230,,
27339,BUENA VISTA,QUEBRACHOS,,5253,-29.4056327,-63.5309177
28720,BUENOS AIRES,COPO,BUENOS AIRES,3712,,
27087,BUEY MUERTO,ROBLES,,4308,-27.8407889,-63.9340891
34121,BULACIO,RIO HONDO,MUNICIPIO NO IDENTIFICADO,4220,,
22130,BURRA HUAÑUNA,LORETO,,4208,,
33946,BUSTAMANTE,QUEBRACHOS,MUNICIPIO NO IDENTIFICADO,5253,,
28721,CABEZA DEL TORO,COPO,CABEZA DEL TORO,3712,,
34198,CABRERA,MORENO,MUNICIPIO NO IDENTIFICADO,3740,,
34292,CACHI PAMPA,FIGUEROA,MUNICIPIO NO IDENTIFICADO,4353,,
34254,CAGIDES,MORENO,MUNICIPIO NO IDENTIFICADO,4351,,
14351,CALLEJON BAJADA,FIGUEROA,,4301,-27.1369190,-63.6458817
28827,CALLEJON BAJADA,JUAN F IBARRA,CALLEJON BAJADA,4357,,
26563,CALOJ,AVELLANEDA,,4326,-28.4777200,-63.6591100
28722,CALOJ POZO,COPO,CALOJ POZO,3712,,
34238,CAMPAGNOLO,MORENO,MUNICIPIO NO IDENTIFICADO,3743,,
26358,CAMPO ALEGRE,ALBERDI,,3749,-26.6322700,-63.0805200
22485,CAMPO ALEGRE,SILIPICA,,4206,-28.1034400,-64.0849100
28667,CAMPO ALEGRE,AVELLANEDA,CAMPO ALEGRE,4328,,
34183,CAMPO ALEGRE,JUAN F IBARRA,MUNICIPIO NO IDENTIFICADO,4350,,
26073,CAMPO ALEGRE,OJO DE AGUA,,5251,-29.4797478,-64.3002777
27096,CAMPO AMARILLO,PELLEGRINI,MUNICIPIO NO IDENTIFICADO,4189,,
26859,CAMPO AMOR,LORETO,CAMPO AMOR,4205,,
28723,CAMPO BANDERA,COPO,CAMPO BANDERA,3712,,
28630,CAMPO CONTARDI,AGUIRRE,CAMPO CONTARDI,2356,-28.9685520,-62.9002860
21963,CAMPO DE LAS MERCEDES,JUAN FRANCISCO BORGES,MUNICIPIO NO IDENTIFICADO,4200,,
27111,CAMPO DEL CIELO,JUAN F IBARRA,,3736,-27.8690700,-61.8047200
28937,CAMPO DEL CISNE,QUEBRACHOS,CAMPO DEL CISNE,5253,,
14183,CAMPO GALLO,ALBERDI,CAMPO GALLO,3747,-26.5878410,-62.8451385
34197,CAMPO GLIKMAN,MORENO,MUNICIPIO NO IDENTIFICADO,3740,,
33884,CAMPO GRANDE,BELGRANO,MUNICIPIO NO IDENTIFICADO,3064,,
14502,CAMPO GRANDE,PELLEGRINI,CAMPO GRANDE,4189,-26.3720540,-63.9735440
14184,CAMPO GRANDE,ALBERDI,,4301,,
