id,nombre,partido,municipio,cp,latitud,longitud
26540,ASERRADERO ARROYO,RIO GRANDE,,9420,,
26464,BAHIA LAPATAIA,USHUAIA,,9410,-54.8424035,-68.5690318
26568,BASE AERONAVAL PIONEROS,RIO GRANDE,RIO GRANDE,9411,,
27627,BASE ANTARTICA CARLINI,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-62.2380361,-58.6671492
28217,BASE ANTARTICA DECEPCION,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-62.9756540,-60.6976974
5034,BASE ANTARTICA MELCHIOR,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-64.3256002,-62.9761161
27629,BASE BELGRANO 2,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-77.8741840,-34.6268227
5035,BASE BROWN,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-64.8953719,-62.8705085
28216,BASE CAMARA,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-62.5944404,-59.9189207
5028,BASE ESPERANZA,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-63.3978477,-56.9973350
5027,BASE MARAMBIO,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-64.2413185,-56.6263025
5026,BASE MATIENZO,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-64.9757546,-60.0713021
27628,BASE ORCADAS,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-60.7379649,-44.7379241
28218,BASE PETREL,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-63.4783338,-56.2288789
5032,BASE PRIMAVERA,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-64.1557312,-60.9550673
5031,BASE SAN MARTIN,ANTARTIDA ARGENTINA,AREA SIN GOBIERNO,9411,-68.1299426,-67.1009204
26542,CABAÑA RUBY,RIO GRANDE,RIO GRANDE,9422,-53.9687582,-67.6950910
26551,CABO SAN PABLO,TOLHUIN,TOLHUIN,9420,,
26554,CAMPAMENTO LOS CHORRILLOS,RIO GRANDE,RIO GRANDE,9420,-53.3310376,-68.2617158
28317,CAMPAMENTO RANCHO GRANDE,USHUAIA,USHUAIA,9411,-54.7418640,-67.8310192
28261,CAÑADON ALFA,RIO GRANDE,RIO GRANDE,9421,-52.7393976,-68.5689754
28318,CERRO CASTOR,USHUAIA,USHUAIA,9411,-54.7243632,-68.0157209
28260,EL MURTILLAR,RIO GRANDE,RIO GRANDE,9421,-53.6075106,-67.9717316
5042,EL PARAMO,RIO GRANDE,RIO GRANDE,9420,-53.0596428,-68.2537613
28262,ESTACION CONTROL TRAF MARITIMO,RIO GRANDE,RIO GRANDE,9421,-52.6596280,-68.6062880
